Apr 16 18:23:49.681 [INFO] zmap: output module: csv
Starting module. Packet out size: 66
Apr 16 18:23:49.687 [INFO] recv: Data link layer Ethernet
 0:00 0%; send: 0 0 p/s (0 p/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:00 0%; send: 0 0 p/s (0 p/s avg); recv: 0 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:01 0%; send: 30269 30.3 Kp/s (29.9 Kp/s avg); recv: 201 200 p/s (198 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.66%
 0:02 0%; send: 59152 28.9 Kp/s (29.4 Kp/s avg); recv: 398 196 p/s (197 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.67%
 0:03 0%; send: 86086 26.9 Kp/s (28.6 Kp/s avg); recv: 778 379 p/s (258 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.90%
 0:04 0%; send: 112741 26.6 Kp/s (28.1 Kp/s avg); recv: 780 1 p/s (194 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.69%
 0:05 0% (59m left); send: 139770 27.0 Kp/s (27.9 Kp/s avg); recv: 780 0 p/s (155 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.56%
 0:06 0% (1h00m left); send: 166979 27.2 Kp/s (27.8 Kp/s avg); recv: 780 0 p/s (129 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.47%
 0:07 0% (1h01m left); send: 191576 24.6 Kp/s (27.3 Kp/s avg); recv: 780 0 p/s (111 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.41%
 0:08 0% (1h01m left); send: 218751 27.2 Kp/s (27.3 Kp/s avg); recv: 780 0 p/s (97 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.36%
 0:09 0% (1h01m left); send: 245755 27.0 Kp/s (27.3 Kp/s avg); recv: 781 0 p/s (86 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.32%
 0:10 0% (1h00m left); send: 276214 30.5 Kp/s (27.6 Kp/s avg); recv: 781 0 p/s (77 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.28%
 0:11 0% (59m left); send: 306071 29.9 Kp/s (27.8 Kp/s avg); recv: 781 0 p/s (70 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.26%
 0:12 0% (1h00m left); send: 328990 22.9 Kp/s (27.4 Kp/s avg); recv: 791 9 p/s (65 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.24%
 0:13 0% (1h02m left); send: 347273 18.3 Kp/s (26.7 Kp/s avg); recv: 797 5 p/s (61 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.23%
 0:14 0% (1h03m left); send: 367729 20.5 Kp/s (26.2 Kp/s avg); recv: 797 0 p/s (56 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.22%
 0:15 0% (1h04m left); send: 385766 18.0 Kp/s (25.7 Kp/s avg); recv: 797 0 p/s (53 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.21%
 0:16 0% (1h05m left); send: 406218 20.4 Kp/s (25.4 Kp/s avg); recv: 797 0 p/s (49 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.20%
 0:17 0% (1h06m left); send: 427691 21.5 Kp/s (25.1 Kp/s avg); recv: 797 0 p/s (46 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.19%
 0:18 0% (1h06m left); send: 448198 20.5 Kp/s (24.9 Kp/s avg); recv: 797 0 p/s (44 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.18%
 0:19 0% (1h07m left); send: 470142 21.9 Kp/s (24.7 Kp/s avg); recv: 797 0 p/s (41 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.17%
 0:20 0% (1h07m left); send: 491446 21.3 Kp/s (24.6 Kp/s avg); recv: 797 0 p/s (39 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.16%
 0:21 1% (1h08m left); send: 511799 20.3 Kp/s (24.4 Kp/s avg); recv: 797 0 p/s (37 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.16%
 0:22 1% (1h08m left); send: 533224 21.4 Kp/s (24.2 Kp/s avg); recv: 797 0 p/s (36 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.15%
 0:23 1% (1h08m left); send: 555301 22.1 Kp/s (24.1 Kp/s avg); recv: 797 0 p/s (34 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.14%
 0:24 1% (1h09m left); send: 577123 21.8 Kp/s (24.0 Kp/s avg); recv: 797 0 p/s (33 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.14%
 0:25 1% (1h09m left); send: 598843 21.7 Kp/s (23.9 Kp/s avg); recv: 797 0 p/s (31 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.13%
 0:26 1% (1h09m left); send: 621322 22.5 Kp/s (23.9 Kp/s avg); recv: 797 0 p/s (30 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.13%
 0:27 1% (1h09m left); send: 642320 21.0 Kp/s (23.8 Kp/s avg); recv: 797 0 p/s (29 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.12%
 0:28 1% (1h09m left); send: 665915 23.6 Kp/s (23.8 Kp/s avg); recv: 797 0 p/s (28 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.12%
 0:29 1% (1h09m left); send: 690458 24.5 Kp/s (23.8 Kp/s avg); recv: 797 0 p/s (27 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.12%
 0:30 1% (1h09m left); send: 712037 21.6 Kp/s (23.7 Kp/s avg); recv: 797 0 p/s (26 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.11%
 0:31 1% (1h10m left); send: 733348 21.3 Kp/s (23.6 Kp/s avg); recv: 797 0 p/s (25 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.11%
 0:32 1% (1h10m left); send: 754084 20.7 Kp/s (23.6 Kp/s avg); recv: 798 0 p/s (24 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.11%
 0:33 1% (1h10m left); send: 776109 22.0 Kp/s (23.5 Kp/s avg); recv: 798 0 p/s (24 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.10%
 0:34 1% (1h10m left); send: 804650 28.5 Kp/s (23.7 Kp/s avg); recv: 798 0 p/s (23 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.10%
 0:35 1% (1h09m left); send: 829537 24.9 Kp/s (23.7 Kp/s avg); recv: 798 0 p/s (22 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.10%
 0:36 1% (1h09m left); send: 854510 25.0 Kp/s (23.7 Kp/s avg); recv: 798 0 p/s (22 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.09%
 0:37 1% (1h09m left); send: 880357 25.8 Kp/s (23.8 Kp/s avg); recv: 798 0 p/s (21 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.09%
 0:38 1% (1h09m left); send: 906054 25.7 Kp/s (23.8 Kp/s avg); recv: 798 0 p/s (20 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.09%
 0:39 1% (1h09m left); send: 930214 24.2 Kp/s (23.8 Kp/s avg); recv: 798 0 p/s (20 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.09%
 0:40 1% (1h09m left); send: 954444 24.2 Kp/s (23.8 Kp/s avg); recv: 798 0 p/s (19 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
 0:41 1% (1h09m left); send: 978898 24.4 Kp/s (23.9 Kp/s avg); recv: 798 0 p/s (19 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
 0:42 1% (1h09m left); send: 1001744 22.8 Kp/s (23.8 Kp/s avg); recv: 798 0 p/s (18 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
 0:43 1% (1h09m left); send: 1024145 22.4 Kp/s (23.8 Kp/s avg); recv: 798 0 p/s (18 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
 0:44 1% (1h09m left); send: 1046541 22.4 Kp/s (23.8 Kp/s avg); recv: 798 0 p/s (18 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.08%
 0:45 1% (1h09m left); send: 1066999 20.5 Kp/s (23.7 Kp/s avg); recv: 798 0 p/s (17 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
 0:46 1% (1h09m left); send: 1087590 20.6 Kp/s (23.6 Kp/s avg); recv: 798 0 p/s (17 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.07%
