Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:options-altchksum:replace:33}(tamper{TCP:flags:replace:A},),)-|[TCP:options-sack::2]-|",1,[-1000]
-20.0,"[TCP:ack:2979265675]-tamper{TCP:ack:corrupt}(duplicate,)-|[TCP:options-timestamp:4215873384]-tamper{TCP:options-uto:corrupt}-|",1,[-20]
-20.0,"[TCP:reserved:6]-tamper{TCP:chksum:replace:65024}(tamper{TCP:sport:replace:60823},)-|[TCP:options-wscale:35]-duplicate-|",1,[-20]
-20.0,"[TCP:options-wscale:99]-duplicate(tamper{TCP:window:corrupt},)-|[TCP:load:p6q6xe4fkq:2]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-mss:41060]-fragment{tcp:-1:False}(tamper{TCP:window:corrupt},)-|[TCP:options-mss:54601]-tamper{TCP:options-altchksumopt:replace:}-|",1,[-20]
-20.0,"[TCP:flags:FRPACN]-duplicate(duplicate,)-|[TCP:options-uto:227]-tamper{TCP:options-md5header:replace:11430de1cdd4fe7fe928c4a5e4cdc182}-|",1,[-20]
-20.0,"[TCP:seq:2294563626]-fragment{tcp:-1:True}(,duplicate)-|[TCP:sport:49951]-tamper{TCP:window:corrupt}-|",1,[-20]
-20.0,"[TCP:dport:17244]-tamper{TCP:options-altchksumopt:corrupt}(fragment{tcp:-1:True},)-|[TCP:options-uto:86]-duplicate-|",1,[-20]
-20.0,"[TCP:chksum:56705]-tamper{TCP:ack:corrupt}(tamper{TCP:chksum:replace:58595},)-|[TCP:ack:2439699835:4]-duplicate-|",1,[-20]
-20.0,"[TCP:options-uto:172]-duplicate(tamper{TCP:dataofs:replace:15},)-|[TCP:window:170]-tamper{TCP:seq:corrupt}-|",1,[-20]
-20.0,"[TCP:reserved:7]-fragment{tcp:-1:False}(tamper{TCP:options-md5header:replace:e679578793aa8f9e844412d98d64ee98},)-|[TCP:window:110]-duplicate-|",1,[-20]
-20.0,"[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:sport:corrupt},)-|[TCP:options-mss:18325:3]-tamper{TCP:sport:replace:34993}-|",1,[-20]
-20.0,"[TCP:options-altchksum:233]-fragment{tcp:-1:False}(drop,)-|[TCP:chksum:43939]-drop-|",1,[-20]
-20.0,"[TCP:dport:6672]-tamper{TCP:reserved:replace:5}(duplicate,)-|[TCP:options-wscale:128]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:load:uh0rzc2w58]-tamper{TCP:seq:replace:3269260853}(fragment{tcp:-1:False},)-|[TCP:options-md5header:e6b743626bad9483af0ea7594c725980]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,[TCP:options-md5header:9eb91750ec2d2cfbb6625d49e84652bb]-|[TCP:load:__DNS_REQUEST__]-duplicate-|,1,[-20]
-20.0,[TCP:window:90]-|[TCP:urgptr:54674:3]-duplicate-|,1,[-20]
-20.0,[TCP:sport:12605]-|[TCP:options-altchksum:214]-tamper{TCP:options-wscale:replace:170}-|,1,[-20]
-20.0,[TCP:sport:12605]-|[TCP:options-wscale:186]-tamper{TCP:flags:replace:FSPAUECN}-|,1,[-20]
-10.0,"[TCP:options-md5header:0a16929f2e2ec7d0bd06a0f2faf6c322]-fragment{tcp:-1:True}(fragment{tcp:-1:True},fragment{tcp:-1:False})-|",1,[-10]
-10.0,[TCP:dataofs:9]-tamper{TCP:sport:corrupt}-|,1,[-10]
-10.0,[TCP:dport:40568]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:urgptr:61059:4]-tamper{TCP:reserved:replace:4}(tamper{TCP:chksum:corrupt}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:chksum:13521]-tamper{TCP:window:corrupt}(tamper{TCP:options-nop:replace:}(tamper{TCP:options-altchksumopt:corrupt},),)-|",1,[-10]
-10.0,[TCP:sport:51244:0]-tamper{TCP:urgptr:replace:673}-|,1,[-10]
-10.0,"[TCP:options-uto:203:0]-tamper{TCP:options-wscale:corrupt}(fragment{tcp:58:False},)-|",1,[-10]
-10.0,"[TCP:load:rf6186szo0]-fragment{tcp:-1:True:5}(,tamper{TCP:ack:replace:2573825585})-|",1,[-10]
-10.0,"[TCP:seq:268323798:0]-duplicate(drop,duplicate)-|",1,[-10]
-10.0,"[TCP:ack:81515748]-tamper{TCP:ack:replace:3897277298}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-md5header:4f69c6808551a64bbf1fea7e87ab63e8]-tamper{TCP:window:replace:180}-|,1,[-10]
-10.0,[TCP:options-mss:11382]-tamper{TCP:options-timestamp:replace:3921613325}-|,1,[-10]
-10.0,[TCP:reserved:3]-duplicate-|,1,[-10]
