Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-20.0,"[TCP:chksum:19459]-tamper{TCP:flags:corrupt}(drop,)-|[TCP:options-wscale:22]-drop-|",1,[-20]
-20.0,"[TCP:seq:1105618600]-fragment{tcp:-1:False}(,tamper{TCP:chksum:corrupt})-|[TCP:options-altchksum:161]-tamper{TCP:options-uto:replace:122}-|",1,[-20]
-20.0,"[TCP:chksum:65435:1]-duplicate(tamper{TCP:options-uto:replace:194},)-|[TCP:urgptr:7014:4]-duplicate-|",1,[-20]
-20.0,"[TCP:ack:3120348939]-tamper{TCP:urgptr:corrupt}(tamper{TCP:options-nop:replace:},)-|[TCP:options-wscale:147]-duplicate-|",1,[-20]
-20.0,"[TCP:chksum:15300]-tamper{TCP:options-timestamp:replace:2257719048}(tamper{TCP:seq:corrupt},)-|[TCP:options-mss:820]-tamper{TCP:options-wscale:replace:192}-|",1,[-20]
-20.0,"[TCP:dport:3668]-duplicate(duplicate,)-|[TCP:seq:596278821]-tamper{TCP:options-sack:replace:}-|",1,[-20]
-20.0,"[TCP:options-wscale:184:3]-tamper{TCP:reserved:replace:1}(fragment{tcp:-1:True},)-|[TCP:options-md5header:1ba6d68ea713462019b315926aadd14f]-tamper{TCP:sport:corrupt}-|",1,[-20]
-20.0,[TCP:options-md5header:4c5e65a1f76d2e81bafe04e589dacc01]-tamper{TCP:sport:corrupt}-|[TCP:load:]-duplicate-|,1,[-20]
-20.0,"[TCP:options-mss:25780]-fragment{tcp:-1:True}(,fragment{tcp:-1:True})-|[TCP:options-md5header:305708beba1c756cbd2ac223ce788131]-tamper{TCP:sport:corrupt}-|",1,[-20]
-20.0,"[TCP:seq:2144771245]-tamper{TCP:ack:replace:850677696}(tamper{TCP:reserved:replace:2},)-|[TCP:dataofs:10]-tamper{TCP:options-altchksum:replace:210}-|",1,[-20]
-20.0,[TCP:options-wscale:95]-fragment{tcp:-1:True}-|[TCP:urgptr:47031]-tamper{TCP:options-sackok:replace:}-|,1,[-20]
-20.0,"[TCP:options-mss:53404]-duplicate(duplicate,)-|[TCP:sport:3592]-duplicate-|",1,[-20]
-20.0,"[TCP:options-timestamp:1559240828]-duplicate(drop,)-|[TCP:sport:42408]-duplicate-|",1,[-20]
-20.0,"[TCP:options-md5header:6ea3425787dfa5dc47a28bb9923544ac]-fragment{tcp:-1:True}(fragment{tcp:-1:False},)-|[TCP:options-timestamp:2122283175:0]-duplicate-|",1,[-20]
-10.0,[TCP:sport:12432:4]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:seq:1523771617]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:dataofs:corrupt},)-|",1,[-10]
-10.0,[TCP:options-mss:41653:0]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,"[TCP:sport:1875]-tamper{TCP:options-md5header:corrupt}(tamper{TCP:options-md5header:replace:5d685529db9120eb02d42be278314e8b},)-|",1,[-10]
-10.0,"[TCP:options-uto:48]-duplicate(fragment{tcp:-1:True}(tamper{TCP:ack:corrupt},),)-|",1,[-10]
-10.0,"[TCP:window:70]-tamper{TCP:ack:replace:170837761}(duplicate(,tamper{TCP:flags:corrupt}),)-|",1,[-10]
