Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,"[TCP:reserved:0]-tamper{TCP:reserved:replace:7}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-fragment{tcp:-1:False}(drop,drop)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-nop:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::1]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol::1]-|[TCP:options-eol::0]-|,1,[-1000]
-1000.0,[TCP:options-sackok::2]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol::0]-tamper{TCP:chksum:replace:21532}-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksumopt:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:dataofs:replace:15}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-md5header:replace:5e18f1578ee87261a39a49810e6e7a36}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:reserved:replace:7}(tamper{TCP:options-wscale:corrupt}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:dport:replace:56637}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:urgptr:corrupt}(tamper{TCP:options-md5header:replace:2e785c47d572da0119e15bea82fe622b}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-mss:34860]-tamper{TCP:seq:replace:2715661651}-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:options-md5header:3fe25ea6ec6c6ba5a1ba81489cd6bea5]-tamper{TCP:options-wscale:replace:154}(tamper{TCP:seq:corrupt},)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:ack:replace:1480757658}(drop,)-|",1,[-1000]
