Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-altchksumopt:]-|,1,[-1000]
-1000.0,[TCP:options-sackok::3]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::3]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-fragment{tcp:-1:False}(tamper{TCP:options-altchksum:replace:214}(drop,),drop)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::1]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop::1]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop::1]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksum:replace:214}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop::1]-tamper{TCP:options-wscale:replace:31}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt::1]-|,1,[-1000]
-1000.0,"[TCP:options-nop::1]-tamper{TCP:dataofs:replace:7}(fragment{tcp:-1:True}(drop,drop),)-|",1,[-1000]
-1000.0,"[TCP:options-nop::0]-tamper{TCP:dataofs:replace:7}(tamper{TCP:options-md5header:replace:706ddcba868c04fdd57a505d355c901e}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:options-timestamp:445470497]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-nop::1]-|,1,[-1000]
-1000.0,"[TCP:options-nop::0]-tamper{TCP:options-uto:replace:242}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-timestamp:replace:2292333563}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop::0]-tamper{TCP:dataofs:replace:7}(fragment{tcp:31:False:11}(drop,drop),)-|",1,[-1000]
-1000.0,"[TCP:options-nop::0]-fragment{tcp:-1:True}(drop,drop)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:sport:9006]-tamper{TCP:options-sack:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-fragment{tcp:36:True}(tamper{TCP:options-wscale:corrupt}(drop,),drop)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:reserved:3:3]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-fragment{tcp:52:True:26}(drop,drop)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:sport:34824]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:load:ss7glyc87g]-tamper{TCP:dataofs:replace:1}-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:options-uto:227]-tamper{TCP:seq:replace:1555399682}-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:ack:replace:2617365734}(drop,)-|[TCP:options-timestamp:2541725763]-duplicate-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:seq:1104866381]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksum:replace:176}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:window:20]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:chksum:39166]-tamper{TCP:options-timestamp:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-md5header:replace:3fdf6779555f7bc30a7342664ecfcbee}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:reserved:6]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:ack:2765119980]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-fragment{tcp:53:True:26}(tamper{TCP:ack:replace:2617365734}(drop,),tamper{TCP:options-mss:replace:20157}(drop,))-|",1,[-1000]
