Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-20.0,[TCP:options-mss:19199]-|[TCP:flags:FPUEC]-tamper{TCP:options-timestamp:replace:975121281}-|,1,[-20]
-20.0,[TCP:options-md5header:28ab3d4e4e7c1eb2a32171b890776830:0]-|[TCP:dport:33861]-tamper{TCP:options-mss:corrupt}-|,1,[-20]
-20.0,[TCP:options-md5header:28ab3d4e4e7c1eb2a32171b890776830:0]-|[TCP:options-mss:38043]-duplicate-|,1,[-20]
-10.0,"[TCP:options-md5header:3e2029e606feb79653e2765d3b020ce6]-tamper{TCP:options-mss:corrupt}(fragment{tcp:-1:False}(,tamper{TCP:options-altchksum:corrupt}),)-|",1,[-10]
-10.0,"[TCP:options-uto:172:1]-duplicate(fragment{tcp:-1:False:26},)-|",1,[-10]
-10.0,[TCP:options-wscale:114:3]-drop-|,1,[-10]
-10.0,"[TCP:options-sackok::0]-tamper{TCP:window:replace:10}(tamper{TCP:urgptr:corrupt},)-|",1,[-10]
-10.0,"[TCP:dataofs:12]-duplicate(duplicate,duplicate)-|",1,[-10]
-10.0,[TCP:options-altchksum:48]-tamper{TCP:seq:corrupt}-|,1,[-10]
-10.0,"[TCP:options-uto:132:1]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:chksum:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-sack:]-duplicate(tamper{TCP:options-sack:corrupt},)-|[TCP:options-uto:24:1]-tamper{TCP:options-altchksum:replace:18}-|",1,[-10]
-10.0,[TCP:flags:F]-duplicate-|,1,[-10]
-10.0,"[TCP:options-mss:35681]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,[-10]
-10.0,[TCP:flags:]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-mss:39419]-tamper{TCP:sport:corrupt}-|,1,[-10]
-10.0,"[TCP:ack:2520441049]-duplicate(tamper{TCP:options-eol:corrupt},)-|",1,[-10]
-10.0,[TCP:options-mss:46439]-drop-|,1,[-10]
-10.0,[TCP:urgptr:42471]-tamper{TCP:options-md5header:corrupt}-|,1,[-10]
-10.0,[TCP:sport:58762]-duplicate-|,1,[-10]
-10.0,"[TCP:seq:4016272613:0]-tamper{TCP:dport:corrupt}(tamper{TCP:options-sack:replace:}(tamper{TCP:chksum:corrupt},),)-|",1,[-10]
-10.0,"[TCP:chksum:39682]-tamper{TCP:dport:replace:35390}(fragment{tcp:-1:False}(,tamper{TCP:sport:corrupt}),)-|",1,[-10]
-10.0,"[TCP:options-mss:56003]-tamper{TCP:options-nop:corrupt}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:load:]-duplicate(duplicate(,duplicate),)-|",1,[-10]
