Strategy DNA,Total Amplifcation,Num Times Generated,Average Amplification
[TCP:options-altchksumopt:]-tamper{TCP:options-altchksumopt:replace:}-|,5.705,6,0.9508333333333333
[TCP:options-altchksumopt::0]-|,4.774,6,0.7956666666666666
[TCP:reserved:7]-duplicate-|,-64.894,6,-10.815666666666667
[TCP:options-sack:]-tamper{TCP:load:replace:}-|,53.999999999999986,6,8.999999999999998
[TCP:options-sack:]-tamper{TCP:options-altchksumopt:replace:}-|,8.783,6,1.4638333333333333
[TCP:options-sackok:]-tamper{TCP:options-eol:replace:}-|,5.307,6,0.8845000000000001
[TCP:options-nop:]-tamper{TCP:options-eol:replace:}-|,8.134,6,1.3556666666666668
[TCP:flags:PA]-|,17.550000000000004,6,2.9250000000000007
"[TCP:options-sack:]-fragment{tcp:-1:True}(duplicate,)-|",7.337,6,1.2228333333333332
[TCP:options-sackok:]-fragment{ip:-1:False}-|,4.1259999999999994,6,0.6876666666666665
"[TCP:options-nop:]-fragment{tcp:-1:False}(drop,)-|",6.1610000000000005,6,1.0268333333333335
[TCP:options-sack:]-fragment{tcp:-1:True:5}-|,12.771,6,2.1285000000000003
[TCP:options-nop:]-tamper{TCP:load:corrupt}-|,22.37,6,3.7283333333333335
[TCP:options-nop:]-tamper{TCP:dport:corrupt}-|,0.0,6,0.0
"[TCP:options-nop:]-fragment{tcp:-1:True}(duplicate,)-|",11.640000000000002,6,1.9400000000000004
"[TCP:options-eol:]-fragment{tcp:-1:True}(duplicate,)-|",17.014000000000003,6,2.835666666666667
"[TCP:options-eol:]-fragment{tcp:-1:False}(duplicate,)-|",4.721,6,0.7868333333333334
[TCP:load:]-drop-|,39.50899999999998,6,6.5848333333333295
[TCP:options-sackok:]-fragment{ip:-1:False:5}-|,3.1119999999999997,6,0.5186666666666666
[TCP:flags:PA]-duplicate-|,17.190999999999995,6,2.8651666666666658
"[TCP:options-sackok:]-fragment{tcp:-1:False}(,duplicate)-|",11.394,6,1.899
[TCP:load:__DNS_REQUEST__]-duplicate-|,-75.19800000000001,6,-12.533000000000001
"[TCP:options-sackok:]-fragment{tcp:-1:True}(,drop)-|",4.635,6,0.7725
[TCP:reserved:6]-duplicate-|,-65.965,6,-10.994166666666667
"[TCP:options-sackok:]-duplicate(,duplicate)-|",7.847000000000001,6,1.3078333333333336
"[TCP:options-eol:]-fragment{tcp:-1:True}(drop,)-|",40.262999999999984,6,6.710499999999997
[TCP:options-nop:]-tamper{TCP:options-sack:replace:}-|,6.843,5,1.3686
[TCP:options-altchksumopt:]-tamper{TCP:options-eol:replace:}-|,3.499,5,0.6998
"[TCP:options-nop:]-duplicate(,drop)-|",7.855,5,1.5710000000000002
[TCP:options-nop:]-tamper{TCP:options-wscale:corrupt}-|,3.592,5,0.7184
[TCP:options-eol:]-tamper{TCP:options-mss:corrupt}-|,2.1609999999999996,5,0.4321999999999999
[TCP:options-sack:]-tamper{TCP:flags:corrupt}-|,3.42,5,0.6839999999999999
[TCP:options-sackok:]-fragment{ip:-1:True}-|,1.67,5,0.33399999999999996
[TCP:options-sack::0]-fragment{tcp:-1:True}-|,-13.040000000000003,5,-2.6080000000000005
"[TCP:options-altchksumopt:]-fragment{tcp:-1:False}(duplicate,)-|",6.907,5,1.3814
"[TCP:options-altchksumopt:]-duplicate(drop,)-|",2.402,5,0.48040000000000005
[TCP:options-altchksumopt:]-fragment{ip:-1:True:5}-|,1.8610000000000002,5,0.37220000000000003
[TCP:options-altchksumopt:]-fragment{tcp:-1:False:5}-|,5.974,5,1.1948
[TCP:options-altchksumopt:]-tamper{TCP:options-nop:replace:}-|,6.366,5,1.2731999999999999
[TCP:flags:A]-fragment{tcp:-1:True}-|,13.075999999999997,5,2.6151999999999993
[TCP:options-altchksumopt:]-tamper{TCP:options-sack:corrupt}-|,2.831,5,0.5662
"[TCP:options-altchksumopt:]-fragment{tcp:-1:True}(fragment{tcp:-1:True},)-|",18.695,5,3.739
[TCP:options-altchksumopt:]-tamper{TCP:ack:corrupt}-|,6.758,5,1.3516
[TCP:options-altchksumopt:]-tamper{TCP:load:replace:}-|,40.5,5,8.1
[TCP:reserved:0]-drop-|,-6000.0,5,-1200.0
[TCP:options-nop:]-fragment{tcp:-1:False:5}-|,3.7889999999999997,5,0.7577999999999999
"[TCP:options-sack:]-duplicate(,duplicate)-|",8.647000000000002,5,1.7294000000000005
[TCP:options-sackok:]-tamper{TCP:window:corrupt}-|,4.099,5,0.8198000000000001
"[TCP:options-nop:]-duplicate(,duplicate)-|",6.840000000000001,5,1.368
"[TCP:options-sack:]-duplicate(,fragment{tcp:-1:False})-|",7.517,5,1.5034
[TCP:options-sackok:]-fragment{tcp:-1:False:5}-|,5.35,5,1.0699999999999998
[TCP:options-nop:]-tamper{TCP:options-altchksumopt:replace:}-|,7.167,5,1.4334
"[TCP:options-sackok:]-fragment{tcp:-1:False}(fragment{tcp:-1:True},)-|",6.471,5,1.2942
"[TCP:options-sack:]-fragment{tcp:-1:False}(duplicate,)-|",8.46,5,1.6920000000000002
[TCP:options-nop:]-tamper{TCP:load:replace:}-|,93.60000000000005,5,18.72000000000001
[TCP:reserved:4]-drop-|,-46.598,5,-9.3196
[TCP:options-nop:]-tamper{TCP:options-timestamp:corrupt}-|,3.5380000000000003,5,0.7076
[TCP:options-eol:]-tamper{TCP:options-nop:replace:}-|,2.8470000000000004,5,0.5694000000000001
[TCP:options-eol:]-tamper{TCP:window:corrupt}-|,3.386,5,0.6772
[TCP:options-sackok::0]-drop-|,-1009.006,5,-201.8012
[TCP:options-sack:]-tamper{TCP:options-nop:replace:}-|,5.016,5,1.0032
[TCP:options-nop:]-fragment{ip:-1:False}-|,2.26,5,0.45199999999999996
[TCP:options-eol:]-tamper{TCP:reserved:corrupt}-|,3.3040000000000003,5,0.6608
"[TCP:options-sackok:]-fragment{tcp:-1:False}(fragment{tcp:-1:False},)-|",4.072,5,0.8144
[TCP:reserved:4]-duplicate-|,-46.663,5,-9.3326
"[TCP:options-altchksumopt:]-duplicate(fragment{tcp:-1:False},)-|",6.1850000000000005,5,1.237
[TCP:load:__DNS_REQUEST__]-drop-|,-28.966,4,-7.2415
[TCP:window:100]-duplicate-|,-38.665000000000006,4,-9.666250000000002
[TCP:options-nop:]-tamper{TCP:chksum:corrupt}-|,0.0,4,0.0
