Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,[TCP:chksum:34088]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:ack:2363115991]-drop-|,1,[-10]
-10.0,"[TCP:window:40]-tamper{TCP:window:replace:100}(duplicate,)-|",1,[-10]
-10.0,"[TCP:ack:4291319354]-tamper{TCP:options-sackok:replace:}(fragment{tcp:-1:True}(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,"[TCP:reserved:2]-fragment{tcp:-1:False}(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,[TCP:options-altchksum:2]-drop-|,1,[-10]
-10.0,[TCP:window:140]-tamper{TCP:options-nop:replace:}-|,1,[-10]
-10.0,"[TCP:dataofs:14]-tamper{TCP:ack:replace:2233168209}(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-altchksumopt:]-duplicate(duplicate,)-|[TCP:reserved:2]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,[TCP:options-md5header:951e0ba08bb7b01e35f73d0f28054e04]-duplicate-|,1,[-10]
-10.0,[TCP:seq:2215116259:2]-duplicate-|,1,[-10]
-10.0,[TCP:dport:12998]-drop-|,1,[-10]
-10.0,"[TCP:dport:46171]-tamper{TCP:options-mss:corrupt}(tamper{TCP:options-sackok:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:4119010784]-fragment{tcp:-1:False}(drop,)-|",1,[-10]
-10.0,"[TCP:ack:417973716]-tamper{TCP:options-uto:corrupt}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,[TCP:options-timestamp:59720576]-duplicate-|,1,[-10]
-10.0,"[TCP:seq:2459520645]-fragment{ip:46:False}(duplicate,)-|",1,[-10]
-10.0,"[TCP:ack:3537064612:2]-duplicate(,duplicate(drop,))-|",1,[-10]
-10.0,"[TCP:chksum:46369]-tamper{TCP:window:replace:40}(duplicate(duplicate,),)-|",1,[-10]
-10.0,"[TCP:options-uto:229]-duplicate(fragment{tcp:-1:True},tamper{TCP:options-mss:replace:3037})-|",1,[-10]
-10.0,[TCP:chksum:60240:1]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:dport:35619]-duplicate(tamper{TCP:options-wscale:corrupt},)-|",1,[-10]
-10.0,[TCP:dport:6329]-drop-|,1,[-10]
-10.0,[TCP:options-wscale:105:1]-fragment{tcp:-1:True}-|,1,[-10]
