Apr 16 23:51:37.459 [INFO] zmap: output module: csv
Starting module. Packet out size: 106
Apr 16 23:51:37.466 [INFO] recv: Data link layer Ethernet
 0:33 0% (2h06m left); send: 435047 9.62 Kp/s (13.2 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:34 0% (2h06m left); send: 446969 11.9 Kp/s (13.1 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:35 0% (2h06m left); send: 458686 11.7 Kp/s (13.1 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:36 0% (2h07m left); send: 470402 11.7 Kp/s (13.1 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:37 0% (2h07m left); send: 482718 12.3 Kp/s (13.0 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:38 0% (2h07m left); send: 495897 13.2 Kp/s (13.0 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:39 1% (2h07m left); send: 507948 12.0 Kp/s (13.0 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:40 1% (2h07m left); send: 520946 13.0 Kp/s (13.0 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:41 1% (2h07m left); send: 534344 13.4 Kp/s (13.0 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:42 1% (2h07m left); send: 546256 11.9 Kp/s (13.0 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
 0:43 1% (2h08m left); send: 557509 11.2 Kp/s (13.0 Kp/s avg); recv: 1 0 p/s (0 p/s avg); drops: 0 p/s (0 p/s avg); hitrate: 0.00%
