Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-eol:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol::0]-|,1,[-1000]
-1000.0,[TCP:reserved:0]-drop-|,1,[-1000]
-1000.0,[TCP:reserved:0]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:dport:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop::0]-drop-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-wscale:39]-fragment{tcp:-1:True}-|,1,[-1000]
-1000.0,[TCP:flags:PA]-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-nop:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-eol:]-drop-|[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-eol:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:replace:RPUC}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-nop:]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-md5header:64f1ad20a39ca3cda15af4288006c45f:4]-fragment{tcp:-1:False}-|,1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-wscale:164]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-duplicate(,tamper{TCP:ack:replace:3023988758})-|[TCP:options-sack:]-drop-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-eol::0]-tamper{TCP:urgptr:replace:3349}-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-sackok:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:flags:PA]-drop-|,1,[-1000]
-20.0,[TCP:flags:FA]-tamper{TCP:ack:replace:585790399}-|[TCP:sport:12832]-tamper{TCP:options-wscale:corrupt}-|,1,[-20]
-20.0,"[TCP:load:]-tamper{TCP:sport:corrupt}(duplicate,)-|[TCP:load:]-tamper{TCP:urgptr:replace:11763}-|",1,[-20]
-20.0,"[TCP:flags:R]-tamper{TCP:ack:corrupt}(fragment{tcp:-1:False},)-|[TCP:dport:18744]-tamper{TCP:window:corrupt}-|",1,[-20]
-20.0,"[TCP:options-altchksum:166]-duplicate(duplicate,)-|[TCP:flags:F]-duplicate-|",1,[-20]
-20.0,"[TCP:dport:27027]-fragment{tcp:-1:False}(duplicate,)-|[TCP:seq:2848756861]-tamper{TCP:options-timestamp:corrupt}-|",1,[-20]
-20.0,"[TCP:urgptr:24447]-fragment{tcp:-1:True}(fragment{tcp:-1:False},)-|[TCP:options-mss:52707]-tamper{TCP:seq:corrupt}-|",1,[-20]
-20.0,"[TCP:reserved:3]-duplicate(,fragment{tcp:-1:True})-|[TCP:load:5ws1r6gz1h]-duplicate-|",1,[-20]
-20.0,"[TCP:dport:65016]-tamper{TCP:options-eol:corrupt}(duplicate,)-|[TCP:options-md5header:f5d9f0177be5ef2b553558136a0405e4]-tamper{TCP:options-sackok:corrupt}-|",1,[-20]
-20.0,"[TCP:sport:21586]-fragment{tcp:-1:False}(tamper{TCP:options-wscale:replace:65},)-|[TCP:options-uto:56]-tamper{TCP:options-md5header:corrupt}-|",1,[-20]
-20.0,"[TCP:options-altchksum:225]-fragment{tcp:-1:False}(drop,)-|[TCP:chksum:5712]-tamper{TCP:options-altchksum:corrupt}-|",1,[-20]
-20.0,"[TCP:seq:3228421426]-tamper{TCP:flags:replace:AUE}(duplicate,)-|[TCP:dport:38273:1]-tamper{TCP:dataofs:replace:5}-|",1,[-20]
-20.0,"[TCP:options-wscale:224]-fragment{tcp:-1:True}(,tamper{TCP:options-timestamp:corrupt})-|[TCP:options-md5header:dca3783c404b90368fd0f11e806d726c:2]-tamper{TCP:options-eol:replace:}-|",1,[-20]
-20.0,"[TCP:flags:F]-duplicate(drop,)-|[TCP:options-md5header:1dd8de5a64780851cacf5959f4d52666]-duplicate-|",1,[-20]
-20.0,"[TCP:options-mss:62147]-tamper{TCP:options-sackok:corrupt}(duplicate,)-|[TCP:options-uto:171]-duplicate-|",1,[-20]
-20.0,[TCP:options-wscale:143:1]-|[TCP:ack:2194511849]-tamper{TCP:flags:corrupt}-|,1,[-20]
-10.0,"[TCP:sport:10322]-fragment{tcp:-1:False}(duplicate,)-|",1,[-10]
-10.0,"[TCP:flags:FSRPUCN]-tamper{TCP:options-nop:replace:}(tamper{TCP:load:corrupt},)-|",1,[-10]
-10.0,[TCP:dport:40169]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:urgptr:56884:0]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:options-altchksum:3]-fragment{tcp:-1:True}(,fragment{tcp:-1:False})-|[TCP:options-sackok:]-tamper{TCP:options-md5header:corrupt}-|",1,[-10]
-10.0,"[TCP:options-sack::0]-duplicate(tamper{TCP:load:corrupt},)-|[TCP:options-eol:]-duplicate-|",1,[-10]
-10.0,"[TCP:window:100]-duplicate(,drop)-|",1,[-10]
-10.0,[TCP:options-timestamp:3744123910]-drop-|,1,[-10]
-10.0,"[TCP:chksum:36201]-tamper{TCP:options-timestamp:replace:3377286877}(fragment{tcp:-1:False}(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,[TCP:load:glrmatocn7]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-mss:24262]-duplicate(,tamper{TCP:reserved:replace:5})-|",1,[-10]
-10.0,"[TCP:load:__HTTP_REQUEST__]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:urgptr:105]-tamper{TCP:seq:replace:844822023}(drop,)-|",1,[-10]
-10.0,"[TCP:options-uto:60]-tamper{TCP:options-nop:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-md5header:4ba605aa9d0c838fdba19e809c6f91b4]-duplicate(tamper{TCP:options-altchksum:corrupt},tamper{TCP:reserved:replace:1})-|",1,[-10]
-10.0,"[TCP:sport:22486]-tamper{TCP:options-uto:replace:141}(tamper{TCP:options-mss:corrupt},)-|",1,[-10]
-10.0,[TCP:sport:59755]-tamper{TCP:options-nop:corrupt}-|,1,[-10]
-10.0,"[TCP:options-md5header:a7f98441339cb67f8d8283f92c31e165]-duplicate(,tamper{TCP:options-md5header:replace:51a3ba62e7f05f77d8002ff2175f83d7})-|",1,[-10]
-10.0,[TCP:reserved:1]-duplicate-|,1,[-10]
-10.0,"[TCP:options-mss:21223]-fragment{tcp:30:False}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:urgptr:10894]-fragment{tcp:-1:True}(duplicate(,duplicate),)-|",1,[-10]
-10.0,[TCP:sport:31329]-drop-|,1,[-10]
-10.0,"[TCP:sport:27179]-tamper{TCP:options-eol:corrupt}(tamper{TCP:seq:replace:1941321307},)-|",1,[-10]
-10.0,"[TCP:options-mss:38056]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:dataofs:11]-tamper{TCP:chksum:replace:39821}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-altchksum:14]-drop-|,1,[-10]
-10.0,[TCP:options-mss:30589]-tamper{TCP:window:corrupt}-|,1,[-10]
-10.0,"[TCP:chksum:38335]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:urgptr:replace:1013},)-|",1,[-10]
-10.0,[TCP:options-mss:47381]-drop-|,1,[-10]
-10.0,"[TCP:load:x9tktuvmo6]-fragment{tcp:-1:False}(duplicate,)-|",1,[-10]
-10.0,"[TCP:seq:1284952798]-tamper{TCP:dport:corrupt}(tamper{TCP:options-altchksumopt:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-md5header:7f9d17a8f4978bd1e5e070b859b0af10:2]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:options-md5header:85777d3e874307f4d12a8cba92daf3ca]-fragment{tcp:-1:False}(tamper{TCP:options-altchksum:replace:113},)-|",1,[-10]
-10.0,"[TCP:dport:48215]-duplicate(duplicate,)-|",1,[-10]
-10.0,[TCP:options-timestamp:419625477]-tamper{TCP:options-altchksum:replace:40}-|,1,[-10]
-10.0,[TCP:seq:2310887289]-duplicate-|,1,[-10]
-10.0,[TCP:chksum:34762]-duplicate-|,1,[-10]
-10.0,"[TCP:sport:37306]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:flags:RAU]-tamper{TCP:urgptr:corrupt}(tamper{TCP:options-uto:replace:142}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:reserved:4:0]-tamper{TCP:sport:corrupt}(tamper{TCP:flags:corrupt}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:urgptr:31118:4]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:dataofs:corrupt}(tamper{TCP:options-sack:replace:},),)-|",1,[-10]
-10.0,"[TCP:sport:32482]-fragment{tcp:-1:False}(tamper{TCP:options-altchksum:corrupt},)-|",1,[-10]
-10.0,[TCP:options-mss:11006]-drop-|,1,[-10]
-10.0,[TCP:window:30]-tamper{TCP:options-altchksum:corrupt}-|,1,[-10]
-10.0,"[TCP:chksum:17691:4]-tamper{TCP:urgptr:replace:11423}(fragment{ip:-1:True:5}(tamper{TCP:dataofs:replace:7},),)-|",1,[-10]
-10.0,[TCP:options-uto:164]-duplicate-|,1,[-10]
-10.0,[TCP:options-uto:19]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:load:__HTTP_REQUEST__]-tamper{TCP:reserved:replace:6}(fragment{tcp:30:False},)-|",1,[-10]
-10.0,"[TCP:sport:58876]-duplicate(tamper{TCP:options-sackok:replace:},)-|[TCP:options-nop::3]-tamper{TCP:options-sackok:corrupt}-|",1,[-10]
-10.0,[TCP:options-timestamp:4201750120]-duplicate-|[TCP:options-sackok:]-tamper{TCP:seq:replace:2021168050}-|,1,[-10]
-10.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-timestamp:corrupt}(fragment{tcp:-1:True},)-|[TCP:options-timestamp:2591066451:2]-tamper{TCP:dport:corrupt}-|",1,[-10]
-10.0,"[TCP:urgptr:52823]-tamper{TCP:options-sack:corrupt}(tamper{TCP:options-md5header:replace:e6b26504145d739083ef3996ab53dd4f},)-|",1,[-10]
-10.0,[TCP:window:30:0]-duplicate-|,1,[-10]
-10.0,"[TCP:options-altchksum:93]-fragment{tcp:-1:False}(fragment{tcp:-1:False}(tamper{TCP:sport:corrupt},),)-|",1,[-10]
