Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,"[TCP:options-sack:]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:chksum:53123:4]-tamper{TCP:reserved:replace:0}(tamper{TCP:options-timestamp:replace:603386710},)-|[TCP:options-altchksumopt::1]-drop-|",1,[-1000]
-1000.0,[TCP:options-eol::2]-drop-|,1,[-1000]
-1000.0,"[TCP:urgptr:9657]-tamper{TCP:window:corrupt}(tamper{TCP:options-mss:corrupt},)-|[TCP:options-altchksumopt:]-drop-|",1,[-1000]
-1000.0,[TCP:options-nop::3]-|,1,[-1000]
-1000.0,[TCP:reserved:0:1]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-wscale:56]-tamper{TCP:sport:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sack:replace:}(drop,)-|[TCP:dport:39345]-fragment{tcp:-1:True}-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:flags:FSRAECN:2]-tamper{TCP:options-mss:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-sackok::0]-tamper{TCP:urgptr:replace:64646}-|,1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:flags:replace:FSAUEN}(tamper{TCP:options-nop:corrupt},)-|[TCP:options-sackok:]-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-eol::0]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-|[TCP:options-md5header:261c34ddabf596dcec9a2ed6ea51bdb5]-duplicate(fragment{tcp:12:False:6}(duplicate,),)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-sackok::0]-tamper{TCP:options-eol:replace:}-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-sackok::0]-tamper{TCP:options-nop:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,[TCP:chksum:43153]-duplicate-|[TCP:options-sack::2]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-sack::0]-duplicate-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-eol:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:load:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-uto:corrupt}(tamper{TCP:urgptr:replace:38457}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-|[TCP:options-wscale:79]-tamper{TCP:options-nop:corrupt}(tamper{TCP:options-altchksum:corrupt},)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-|[TCP:options-sack::0]-duplicate(,duplicate)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-wscale:50]-tamper{TCP:dataofs:corrupt}-|,1,[-1000]
-20.0,[TCP:options-wscale:133:0]-drop-|[TCP:reserved:3]-duplicate-|,1,[-20]
-20.0,"[TCP:dataofs:12]-tamper{TCP:seq:corrupt}(drop,)-|[TCP:options-altchksum:213]-tamper{TCP:dport:corrupt}-|",1,[-20]
-20.0,"[TCP:load:]-duplicate(,duplicate)-|[TCP:urgptr:32006]-duplicate-|",1,[-20]
-20.0,"[TCP:options-altchksum:15:4]-duplicate(fragment{tcp:-1:False},)-|[TCP:options-md5header:aa890b39e912a291833b80db12319330]-tamper{TCP:options-timestamp:corrupt}-|",1,[-20]
-20.0,"[TCP:options-md5header:2b785a6e55efea383118d57e001a289e]-tamper{TCP:options-sack:replace:}(drop,)-|[TCP:options-altchksum:166]-tamper{TCP:options-altchksumopt:corrupt}-|",1,[-20]
-20.0,"[TCP:chksum:21899:0]-duplicate(fragment{tcp:-1:True}(,fragment{tcp:-1:True}),)-|[TCP:options-uto:76:0]-drop-|",1,[-20]
-20.0,"[TCP:flags:PAUECN:3]-tamper{TCP:reserved:corrupt}(tamper{TCP:options-altchksumopt:replace:}(fragment{tcp:-1:False},),)-|[TCP:options-timestamp:2819880803]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-altchksum:234]-tamper{TCP:options-md5header:replace:83e50495fe3bcd852502cb0553861dd4}(tamper{TCP:options-uto:replace:2},)-|[TCP:urgptr:30180]-duplicate-|",1,[-20]
-20.0,"[TCP:sport:19464]-duplicate(,duplicate)-|[TCP:window:180:1]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-md5header:bb8796dc44865bf97c4210df3b24dda8]-tamper{TCP:options-altchksumopt:replace:}(drop,)-|[TCP:flags:R:0]-tamper{TCP:options-eol:replace:}-|",1,[-20]
-20.0,"[TCP:sport:62467]-tamper{TCP:ack:replace:2395262512}(fragment{tcp:-1:True},)-|[TCP:options-wscale:122:0]-tamper{TCP:dataofs:corrupt}-|",1,[-20]
-20.0,[TCP:sport:31880]-|[TCP:options-uto:25]-duplicate-|,1,[-20]
-20.0,[TCP:options-uto:77]-tamper{TCP:chksum:corrupt}-|[TCP:load:__DNS_REQUEST__]-tamper{TCP:seq:replace:4255651344}-|,1,[-20]
-20.0,[TCP:options-uto:239]-|[TCP:urgptr:24482]-duplicate-|,1,[-20]
-10.0,[TCP:load:r1e8ac3v1r]-tamper{TCP:options-timestamp:corrupt}-|,1,[-10]
-10.0,"[TCP:options-uto:202:0]-tamper{TCP:options-nop:corrupt}(tamper{TCP:options-timestamp:corrupt},)-|",1,[-10]
-10.0,"[TCP:reserved:7:2]-tamper{TCP:ack:replace:4137777227}(fragment{tcp:-1:False},)-|[TCP:options-altchksumopt::3]-duplicate-|",1,[-10]
-10.0,"[TCP:reserved:5:4]-tamper{TCP:options-eol:replace:}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:chksum:8853]-tamper{TCP:flags:corrupt}(tamper{TCP:urgptr:corrupt}(tamper{TCP:options-eol:corrupt},),)-|",1,[-10]
-10.0,"[TCP:window:170]-duplicate(tamper{TCP:options-timestamp:replace:4197446352},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:24]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:flags:FRUC]-duplicate(duplicate(duplicate,),)-|",1,[-10]
-10.0,"[TCP:options-wscale:25]-duplicate(,fragment{tcp:-1:False})-|",1,[-10]
-10.0,"[TCP:options-uto:47]-duplicate(,tamper{TCP:window:corrupt})-|",1,[-10]
-10.0,"[TCP:flags:FSRPAUC]-tamper{TCP:ack:replace:1009448318}(duplicate(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:options-md5header:cb136a131a16c42f3ee149328d203dca:2]-tamper{TCP:options-uto:replace:208}(drop,)-|",1,[-10]
-10.0,[TCP:options-md5header:c41d80b2387aaecdd60f10a451ec8dbd]-tamper{TCP:options-altchksum:corrupt}-|,1,[-10]
-10.0,"[TCP:ack:3323671905]-tamper{TCP:options-wscale:corrupt}(tamper{TCP:options-md5header:replace:b9ca2f61c3a0e27df57db9bfe42c28d8},)-|",1,[-10]
-10.0,"[TCP:window:60]-tamper{TCP:options-md5header:replace:824b96562270fec608f65c98dba53c06}(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-md5header:879f5941dfd3ea522d0686da62c57f49]-tamper{TCP:ack:replace:3738457214}(tamper{TCP:options-sack:corrupt},)-|",1,[-10]
-10.0,"[TCP:flags:]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:window:140]-tamper{TCP:reserved:replace:0}-|,1,[-10]
-10.0,"[TCP:options-timestamp:1563585041]-fragment{tcp:-1:True}(,duplicate)-|",1,[-10]
-10.0,[TCP:flags:F]-tamper{TCP:dport:replace:6516}-|,1,[-10]
-10.0,[TCP:window:90]-tamper{TCP:options-altchksum:replace:114}-|,1,[-10]
-10.0,[TCP:options-uto:77]-tamper{TCP:chksum:corrupt}-|,1,[-10]
-10.0,"[TCP:urgptr:11921:1]-tamper{TCP:reserved:corrupt}(fragment{ip:-1:True:5},)-|",1,[-10]
-10.0,[TCP:flags:FSRCN:1]-duplicate-|,1,[-10]
-10.0,"[TCP:options-uto:86:4]-duplicate(,tamper{TCP:ack:corrupt})-|",1,[-10]
-10.0,[TCP:seq:773991239]-tamper{TCP:seq:corrupt}-|,1,[-10]
-10.0,[TCP:window:110:3]-duplicate-|,1,[-10]
-10.0,"[TCP:options-uto:245:4]-tamper{TCP:options-eol:corrupt}(tamper{TCP:window:corrupt},)-|",1,[-10]
-10.0,[TCP:options-md5header:c291cc4c052ec92155fe02ca638a6407]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:dataofs:5]-tamper{TCP:dataofs:replace:8}(tamper{TCP:options-timestamp:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-mss:4251]-tamper{TCP:options-sack:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-altchksum:24]-fragment{tcp:-1:True}(duplicate,)-|",1,[-10]
-10.0,[TCP:load:__DNS_REQUEST__]-tamper{TCP:load:corrupt}-|,1,[-10]
-10.0,"[TCP:seq:3806869877]-fragment{tcp:-1:False:5}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,[TCP:urgptr:59768:2]-tamper{TCP:dport:replace:44778}-|,1,[-10]
-10.0,[TCP:urgptr:18421:2]-duplicate-|,1,[-10]
-10.0,"[TCP:urgptr:10234]-tamper{TCP:dataofs:replace:11}(tamper{TCP:options-altchksum:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-mss:50490]-duplicate(tamper{TCP:reserved:corrupt},)-|",1,[-10]
-10.0,[TCP:chksum:63396]-tamper{TCP:dataofs:replace:14}-|,1,[-10]
-10.0,[TCP:ack:3303485566]-tamper{TCP:flags:corrupt}-|,1,[-10]
-10.0,"[TCP:sport:35347:0]-fragment{tcp:-1:False}(,fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:options-wscale:233]-tamper{TCP:sport:replace:55779}(duplicate(duplicate,),)-|",1,[-10]
-10.0,"[TCP:chksum:50773]-tamper{TCP:options-altchksum:replace:87}(tamper{TCP:options-sack:replace:},)-|",1,[-10]
-10.0,"[TCP:sport:43641]-duplicate(fragment{tcp:-1:True},tamper{TCP:flags:replace:RPAUN})-|",1,[-10]
-10.0,"[TCP:options-md5header:27a36283b558744f0cdfcc5795562a61]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:sport:46881:3]-tamper{TCP:options-altchksumopt:replace:}(duplicate,)-|",1,[-10]
-10.0,"[TCP:urgptr:14638]-fragment{tcp:-1:True}(duplicate(,drop),)-|",1,[-10]
-10.0,"[TCP:urgptr:62938]-duplicate(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,[TCP:options-mss:19575:3]-drop-|,1,[-10]
-10.0,"[TCP:options-wscale:80]-duplicate(drop,duplicate)-|",1,[-10]
-10.0,[TCP:options-uto:239]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-10]
-10.0,"[TCP:options-wscale:92]-fragment{tcp:-1:False}(,tamper{TCP:window:replace:60})-|",1,[-10]
-10.0,"[TCP:flags:FSACN]-tamper{TCP:reserved:corrupt}(fragment{tcp:-1:False}(duplicate,),)-|",1,[-10]
-10.0,[TCP:options-mss:35187]-drop-|,1,[-10]
-10.0,[TCP:window:50]-tamper{TCP:options-mss:corrupt}-|,1,[-10]
-10.0,"[TCP:urgptr:17441]-fragment{tcp:-1:True}(,tamper{TCP:options-altchksum:corrupt})-|",1,[-10]
-10.0,"[TCP:options-md5header:ad808b48e6b20e6661a29c41fecec7ab]-fragment{tcp:-1:True}(tamper{TCP:options-nop:replace:},)-|",1,[-10]
-10.0,[TCP:window:120]-duplicate-|,1,[-10]
-10.0,"[TCP:reserved:6]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:sport:14737]-tamper{TCP:options-wscale:replace:36}(fragment{tcp:25:False},)-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-fragment{tcp:17:False:41}(tamper{TCP:options-altchksum:replace:221},)-|",1,[-10]
-10.0,"[TCP:ack:2865693450]-duplicate(tamper{TCP:options-mss:replace:21518},tamper{TCP:options-uto:corrupt})-|",1,[-10]
-10.0,"[TCP:options-altchksum:53]-fragment{tcp:51:True}(tamper{TCP:chksum:corrupt},)-|",1,[-10]
-10.0,"[TCP:load:0a2u2tlu0q:3]-tamper{TCP:options-nop:corrupt}(fragment{tcp:-1:False}(,tamper{TCP:options-sack:corrupt}),)-|",1,[-10]
