Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-20.0,"[TCP:options-mss:31383]-duplicate(tamper{TCP:options-altchksumopt:replace:},)-|[TCP:options-wscale:254]-duplicate-|",1,[-20]
-20.0,[TCP:seq:1862688710]-tamper{TCP:options-nop:replace:}-|[TCP:options-wscale:12]-duplicate-|,1,[-20]
-20.0,"[TCP:flags:]-tamper{TCP:options-md5header:corrupt}(tamper{TCP:dataofs:replace:4},)-|[TCP:options-timestamp:2298947771:4]-tamper{TCP:options-uto:replace:193}-|",1,[-20]
-20.0,"[TCP:dataofs:12:3]-duplicate(,fragment{tcp:-1:True})-|[TCP:flags:SA]-tamper{TCP:options-altchksum:replace:48}-|",1,[-20]
-20.0,"[TCP:dport:57423]-tamper{TCP:options-md5header:corrupt}(duplicate,)-|[TCP:options-wscale:19:4]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-mss:12407]-fragment{tcp:-1:False}(fragment{tcp:-1:True},)-|[TCP:options-altchksum:1]-duplicate-|",1,[-20]
-20.0,[TCP:options-mss:25471:2]-|[TCP:reserved:4:3]-tamper{TCP:options-timestamp:corrupt}-|,1,[-20]
-20.0,[TCP:options-md5header:fbf9015ba98350432eff219cb2d9ed31]-|[TCP:options-md5header:cfaece272322576429cb04baaba81546:3]-tamper{TCP:options-md5header:corrupt}-|,1,[-20]
-20.0,"[TCP:options-timestamp:2652951730]-tamper{TCP:options-timestamp:corrupt}(duplicate,)-|[TCP:sport:56518]-tamper{TCP:chksum:replace:5844}-|",1,[-20]
-10.0,"[TCP:options-sack:]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:options-mss:replace:33587},)-|[TCP:options-altchksum:168]-tamper{TCP:dport:corrupt}-|",1,[-10]
-10.0,"[TCP:options-nop:]-duplicate(tamper{TCP:options-sackok:corrupt},)-|[TCP:options-md5header:561de5ed8563ae80657f8230f6bd08d6]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,"[TCP:ack:670829271:0]-tamper{TCP:options-sackok:replace:}(tamper{TCP:flags:corrupt}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:options-uto:210]-duplicate(,tamper{TCP:options-uto:corrupt})-|",1,[-10]
-10.0,[TCP:options-mss:24215]-duplicate-|,1,[-10]
-10.0,[TCP:options-mss:34660]-duplicate-|,1,[-10]
-10.0,"[TCP:options-timestamp:2865529067]-duplicate(tamper{TCP:dport:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-mss:42930:1]-fragment{tcp:-1:True}(tamper{TCP:options-altchksum:replace:235},)-|",1,[-10]
-10.0,[TCP:sport:31677]-tamper{TCP:flags:replace:FAEN}-|,1,[-10]
-10.0,[TCP:dataofs:15]-drop-|,1,[-10]
-10.0,[TCP:reserved:1]-duplicate-|,1,[-10]
-10.0,"[TCP:sport:17567]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:chksum:11877]-tamper{TCP:options-sack:corrupt}(tamper{TCP:options-md5header:replace:38f60fa519882b384176b22fd8784da0},)-|",1,[-10]
