Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-20.0,"[TCP:options-timestamp:3566206139:0]-tamper{TCP:options-eol:replace:}(tamper{TCP:options-timestamp:corrupt},)-|[TCP:reserved:4]-tamper{TCP:dport:corrupt}-|",1,[-20]
-20.0,"[TCP:dataofs:13]-tamper{TCP:urgptr:corrupt}(duplicate,)-|[TCP:options-mss:4200]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,[TCP:options-timestamp:3751245159]-drop-|[TCP:chksum:58735]-fragment{tcp:-1:True}-|,1,[-20]
-20.0,"[TCP:reserved:1]-tamper{TCP:dataofs:corrupt}(tamper{TCP:load:corrupt},)-|[TCP:ack:2665673428]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:ack:2675965671]-tamper{TCP:options-sack:corrupt}(duplicate,)-|[TCP:urgptr:62848:3]-duplicate-|",1,[-20]
-20.0,"[TCP:window:30]-tamper{TCP:flags:replace:F}(tamper{TCP:chksum:corrupt},)-|[TCP:options-mss:11797:4]-tamper{TCP:chksum:corrupt}-|",1,[-20]
-20.0,"[TCP:chksum:59301]-fragment{tcp:-1:True}(,tamper{TCP:window:replace:180})-|[TCP:ack:2196847419]-tamper{TCP:reserved:corrupt}-|",1,[-20]
-20.0,"[TCP:options-md5header:d77c027443b890ea892bce3b9eb94940:4]-fragment{tcp:-1:False}(tamper{TCP:urgptr:corrupt},)-|[TCP:options-mss:45729]-tamper{TCP:options-altchksumopt:corrupt}-|",1,[-20]
-20.0,"[TCP:sport:23573]-duplicate(,tamper{TCP:options-mss:replace:43994})-|[TCP:urgptr:14296]-duplicate-|",1,[-20]
-20.0,"[TCP:options-wscale:135]-duplicate(fragment{tcp:-1:False},)-|[TCP:options-timestamp:2056807984]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:options-altchksum:144:1]-duplicate(,fragment{tcp:-1:False})-|[TCP:load::2]-drop-|",1,[-20]
-20.0,[TCP:options-md5header:23e053e92fd7c28bf0dfea2484140c5a]-|[TCP:load:]-drop-|,1,[-20]
-20.0,[TCP:options-md5header:23e053e92fd7c28bf0dfea2484140c5a]-|[TCP:dataofs:8]-duplicate-|,1,[-20]
-20.0,[TCP:ack:637356214]-|[TCP:flags:FSPAC]-tamper{TCP:options-altchksum:replace:208}-|,1,[-20]
-20.0,[TCP:urgptr:6520:4]-|[TCP:chksum:25214]-tamper{TCP:options-altchksum:corrupt}-|,1,[-20]
-20.0,[TCP:options-md5header:23e053e92fd7c28bf0dfea2484140c5a]-tamper{TCP:load:replace:}-|[TCP:dport:29245]-tamper{TCP:sport:corrupt}-|,1,[-20]
-10.0,"[TCP:flags:SN]-fragment{tcp:-1:False}(tamper{TCP:chksum:corrupt},)-|",1,[-10]
-10.0,"[TCP:load:__DNS_REQUEST__]-duplicate(fragment{tcp:-1:True},tamper{TCP:seq:corrupt})-|",1,[-10]
-10.0,[TCP:options-uto:98]-duplicate-|,1,[-10]
-10.0,[TCP:window:20]-drop-|,1,[-10]
-10.0,"[TCP:options-uto:169:2]-tamper{TCP:options-md5header:replace:5ee58eaa93fdd20d35ffd367d67f7de4}(duplicate,)-|",1,[-10]
-10.0,[TCP:window:10:2]-duplicate-|,1,[-10]
-10.0,[TCP:options-uto:96]-duplicate-|,1,[-10]
-10.0,"[TCP:sport:53597]-tamper{TCP:dport:replace:7653}(tamper{TCP:options-mss:corrupt}(tamper{TCP:dataofs:corrupt},),)-|",1,[-10]
-10.0,[TCP:load:]-duplicate-|,1,[-10]
