Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-20.0,"[TCP:sport:46990]-tamper{TCP:window:corrupt}(drop,)-|[TCP:dataofs:15]-tamper{TCP:urgptr:corrupt}-|",1,[-20]
-20.0,[TCP:dataofs:6]-|[TCP:options-timestamp:402987655]-tamper{TCP:options-nop:corrupt}-|,1,[-20]
-20.0,[TCP:dataofs:13]-|[TCP:dataofs:8]-tamper{TCP:chksum:corrupt}-|,1,[-20]
-20.0,[TCP:flags:SA]-duplicate-|[TCP:flags:FA:1]-duplicate-|,1,[-20]
-20.0,[TCP:chksum:59869]-tamper{TCP:load:corrupt}-|[TCP:dataofs:5:3]-tamper{TCP:sport:replace:60746}-|,1,[-20]
-20.0,[TCP:chksum:59869]-tamper{TCP:dataofs:replace:5}-|[TCP:ack:58751386]-drop-|,1,[-20]
-20.0,[TCP:chksum:59869]-|[TCP:options-wscale:124]-tamper{TCP:options-timestamp:corrupt}-|,1,[-20]
-20.0,[TCP:chksum:59869]-tamper{TCP:options-nop:replace:}-|[TCP:reserved:2]-drop-|,1,[-20]
-20.0,"[TCP:chksum:59869]-duplicate(duplicate,)-|[TCP:options-wscale:172]-duplicate-|",1,[-20]
-20.0,[TCP:chksum:59869]-|[TCP:options-md5header:255ae3b316eda345475fa6ede1827660]-duplicate-|,1,[-20]
-20.0,[TCP:chksum:59869]-|[TCP:chksum:35735:1]-tamper{TCP:load:replace:}-|,1,[-20]
-10.0,"[TCP:options-md5header:e620c40b34fb4e4f6005ddcd636e87a2:4]-fragment{tcp:-1:False}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-md5header:3324f4a867f0daf1251e4ca3df613113]-tamper{TCP:seq:corrupt}-|,1,[-10]
-10.0,"[TCP:sport:19135]-duplicate(tamper{TCP:options-wscale:replace:168},)-|",1,[-10]
-10.0,[TCP:options-timestamp:91785224:1]-tamper{TCP:options-md5header:replace:cfc17f7250678badfbb5708b1e65da16}-|,1,[-10]
-10.0,"[TCP:seq:3901756925]-fragment{tcp:-1:False}(tamper{TCP:options-sack:corrupt},duplicate)-|",1,[-10]
-10.0,"[TCP:options-uto:125]-duplicate(duplicate,fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:dport:6611]-fragment{tcp:-1:True:31}(,fragment{tcp:-1:True})-|",1,[-10]
