Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sackok::0]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:chksum:replace:53360}(drop,)-|[TCP:ack:271671085]-tamper{TCP:ack:corrupt}-|",1,[-1000]
-1000.0,"[TCP:urgptr:47387]-tamper{TCP:options-uto:corrupt}(tamper{TCP:chksum:corrupt},)-|[TCP:options-eol:]-drop-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-drop-|[TCP:seq:269288634]-tamper{TCP:sport:corrupt}-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-nop:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-tamper{TCP:options-altchksum:corrupt}(fragment{tcp:-1:False}(drop,drop),)-|",1,[-1000]
-1000.0,[TCP:options-sack::1]-|,1,[-1000]
-1000.0,[TCP:options-eol::1]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:reserved:corrupt}(tamper{TCP:sport:replace:16263}(tamper{TCP:options-nop:corrupt}(drop,),),)-|[TCP:load:]-tamper{TCP:flags:replace:FSRPAEN}-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-md5header:eafa74eb5c26b246579d9b289ae2d687]-duplicate-|,1,[-1000]
-1000.0,[TCP:flags:PA]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-drop-|[TCP:options-eol:]-tamper{TCP:options-eol:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:options-eol:]-|,1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:reserved:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-nop:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:dataofs:9]-duplicate(duplicate,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-altchksum:replace:61}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:sport:30008]-duplicate(duplicate,)-|",1,[-1000]
-1000.0,[TCP:options-eol::0]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:options-eol::0]-duplicate(duplicate(duplicate(,fragment{tcp:-1:True}),drop),)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:load:]-duplicate(duplicate,tamper{TCP:options-eol:replace:})-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-drop-|[TCP:options-eol::0]-duplicate(,tamper{TCP:options-mss:corrupt})-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:options-eol::0]-duplicate(duplicate,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:reserved:7:0]-duplicate-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-eol::0]-duplicate-|[TCP:options-timestamp:3398178323]-tamper{TCP:options-eol:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-wscale:107]-fragment{tcp:29:True:14}-|,1,[-1000]
-1000.0,"[TCP:dport:36106]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:options-sackok:replace:},)-|[TCP:options-sack:]-|[TCP:options-wscale:137]-fragment{tcp:-1:False}-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-drop-|[TCP:options-wscale:107]-tamper{TCP:options-timestamp:corrupt}(fragment{tcp:-1:True},)-|",1,[-1000]
-1000.0,"[TCP:options-sack::0]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:options-sackok:replace:},)-|[TCP:options-sack:]-|[TCP:options-nop:]-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:reserved:replace:7}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-nop:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:options-md5header:6a1169591e0a803199a14948a5ba1cab]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-sackok:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:load:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,[TCP:options-eol:]-|[TCP:reserved:0]-|,1,[-1000]
-20.0,"[TCP:sport:35233]-fragment{tcp:-1:False}(fragment{tcp:-1:True},)-|[TCP:seq:4234541695:0]-tamper{TCP:reserved:corrupt}-|",1,[-20]
-20.0,"[TCP:load:__HTTP_REQUEST__]-duplicate(fragment{tcp:-1:True}(,tamper{TCP:options-altchksum:replace:93}),)-|[TCP:options-uto:18]-tamper{TCP:dport:replace:28670}-|",1,[-20]
-20.0,"[TCP:dataofs:15]-duplicate(,tamper{TCP:options-wscale:corrupt})-|[TCP:urgptr:46940]-tamper{TCP:load:replace:}-|",1,[-20]
-20.0,[TCP:options-altchksum:28]-drop-|[TCP:ack:705743524]-tamper{TCP:options-md5header:replace:c058d114b2abd753dfde445a8724a65e}-|,1,[-20]
-20.0,"[TCP:options-uto:85:2]-duplicate(,drop)-|[TCP:options-timestamp:3079676911]-duplicate-|",1,[-20]
-20.0,"[TCP:options-mss:53613]-tamper{TCP:sport:corrupt}(tamper{TCP:options-sack:corrupt},)-|[TCP:urgptr:32167]-tamper{TCP:sport:corrupt}-|",1,[-20]
-20.0,"[TCP:options-altchksum:20]-tamper{TCP:sport:replace:24771}(tamper{TCP:options-mss:replace:19688},)-|[TCP:options-mss:2140:4]-tamper{TCP:ack:replace:176627072}-|",1,[-20]
-20.0,"[TCP:options-altchksum:184:2]-duplicate(,tamper{TCP:options-altchksumopt:replace:})-|[TCP:load:__DNS_REQUEST__]-duplicate-|",1,[-20]
-20.0,"[TCP:options-wscale:37]-fragment{tcp:-1:True}(tamper{TCP:chksum:corrupt},)-|[TCP:dport:59320]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:ack:917615604]-fragment{tcp:-1:False}(,duplicate)-|[TCP:window:30]-tamper{TCP:options-altchksumopt:corrupt}-|",1,[-20]
-20.0,"[TCP:window:110]-fragment{tcp:-1:False}(duplicate,)-|[TCP:ack:2495756923]-drop-|",1,[-20]
-20.0,"[TCP:options-mss:7278]-tamper{TCP:options-sackok:replace:}(tamper{TCP:options-wscale:replace:16},)-|[TCP:urgptr:30677:4]-tamper{TCP:reserved:corrupt}-|",1,[-20]
-20.0,"[TCP:options-timestamp:3700853237]-tamper{TCP:dataofs:replace:12}(duplicate,)-|[TCP:options-uto:157:4]-tamper{TCP:options-nop:replace:}-|",1,[-20]
-20.0,[TCP:options-wscale:41]-drop-|[TCP:reserved:3:3]-duplicate-|,1,[-20]
-20.0,[TCP:options-wscale:73]-|[TCP:reserved:1]-drop-|,1,[-20]
-20.0,"[TCP:reserved:7:0]-duplicate(tamper{TCP:options-mss:corrupt},)-|[TCP:dport:10507]-fragment{tcp:-1:False}-|",1,[-20]
-10.0,"[TCP:options-md5header:0ac9c14878f223c20a927a7c287d1913]-duplicate(duplicate,)-|",1,[-10]
-10.0,[TCP:flags:R]-duplicate-|,1,[-10]
-10.0,"[TCP:options-nop:]-tamper{TCP:seq:replace:2004936465}(tamper{TCP:urgptr:replace:27240},)-|[TCP:sport:5480:4]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,"[TCP:options-uto:83]-duplicate(,fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:reserved:6]-tamper{TCP:load:replace:__DNS_REQUEST__}(tamper{TCP:options-timestamp:replace:2347972619}(tamper{TCP:options-md5header:replace:065d54b2163b7398c3264184b0feb659},),)-|",1,[-10]
-10.0,[TCP:options-altchksum:133]-tamper{TCP:chksum:replace:57633}-|,1,[-10]
-10.0,[TCP:ack:1658378914]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:window:90]-duplicate(tamper{TCP:options-altchksum:corrupt},drop)-|",1,[-10]
-10.0,[TCP:options-uto:216:1]-duplicate-|,1,[-10]
-10.0,"[TCP:options-wscale:153:2]-fragment{ip:-1:False:5}(drop,)-|",1,[-10]
-10.0,[TCP:urgptr:1465:1]-tamper{TCP:sport:replace:39658}-|,1,[-10]
-10.0,[TCP:load:]-drop-|,1,[-10]
-10.0,"[TCP:dport:11759]-tamper{TCP:options-mss:corrupt}(tamper{TCP:dport:corrupt},)-|",1,[-10]
-10.0,"[TCP:reserved:5]-fragment{tcp:-1:True:49}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:options-md5header:30483a91ca2c5c018d2032cbf0446196]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:ack:3427826012]-tamper{TCP:options-sack:corrupt}(tamper{TCP:options-wscale:replace:159},)-|",1,[-10]
-10.0,[TCP:seq:1765148679]-drop-|[TCP:options-altchksumopt:]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
-10.0,"[TCP:options-timestamp:1167566735]-tamper{TCP:options-sack:replace:}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,[TCP:window:120]-tamper{TCP:options-sackok:corrupt}-|,1,[-10]
-10.0,"[TCP:options-md5header:f5c54c8ac36c226f17e6a76b398865df:3]-fragment{tcp:-1:False}(,fragment{ip:-1:False})-|",1,[-10]
-10.0,"[TCP:options-uto:18:4]-tamper{TCP:options-mss:corrupt}(drop,)-|",1,[-10]
-10.0,[TCP:options-altchksum:183]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksum:replace:156}(tamper{TCP:options-mss:corrupt},)-|[TCP:ack:1199774812]-duplicate-|",1,[-10]
-10.0,"[TCP:seq:182490436]-duplicate(,tamper{TCP:dataofs:corrupt})-|",1,[-10]
-10.0,[TCP:chksum:40156]-drop-|[TCP:options-eol::3]-duplicate-|,1,[-10]
-10.0,"[TCP:sport:62889]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-uto:136]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-timestamp:3700853237]-tamper{TCP:dataofs:replace:12}(duplicate,)-|",1,[-10]
-10.0,[TCP:urgptr:19817]-tamper{TCP:reserved:replace:5}-|,1,[-10]
-10.0,[TCP:seq:1979376368]-tamper{TCP:reserved:corrupt}-|,1,[-10]
