Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-10.0,"[TCP:options-md5header:36063d98e2c42fbaac16c826434e76da]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:sport:12290]-tamper{TCP:options-eol:replace:}(duplicate,)-|[TCP:options-sackok:]-tamper{TCP:options-sackok:replace:}-|",1,[-10]
-10.0,"[TCP:ack:3861886649:1]-tamper{TCP:options-altchksum:replace:135}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-wscale:239:1]-tamper{TCP:sport:replace:22626}(tamper{TCP:options-altchksum:corrupt}(tamper{TCP:reserved:replace:4},),)-|",1,[-10]
-10.0,"[TCP:options-wscale:131]-duplicate(,fragment{ip:-1:True})-|",1,[-10]
-10.0,[TCP:urgptr:36840]-duplicate-|,1,[-10]
-10.0,"[TCP:options-uto:138]-tamper{TCP:window:replace:170}(tamper{TCP:urgptr:corrupt},)-|",1,[-10]
-10.0,[TCP:dport:49848]-duplicate-|,1,[-10]
-10.0,"[TCP:window:60]-duplicate(tamper{TCP:options-md5header:replace:2a50948a1faf60a56e81f0148c83febc}(duplicate,),)-|",1,[-10]
-10.0,[TCP:dport:49226]-duplicate-|,1,[-10]
-10.0,"[TCP:options-timestamp:1373425158]-tamper{TCP:options-uto:corrupt}(tamper{TCP:chksum:replace:65080},)-|",1,[-10]
-10.0,[TCP:ack:3960691246]-duplicate-|,1,[-10]
-10.0,[TCP:seq:1333671106]-drop-|,1,[-10]
-10.0,"[TCP:options-timestamp:614994014:0]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:options-uto:corrupt},)-|",1,[-10]
-10.0,[TCP:urgptr:29033:2]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:dataofs:2]-tamper{TCP:window:replace:80}(fragment{tcp:-1:True}(duplicate,),)-|",1,[-10]
-10.0,[TCP:options-md5header:63af2abb931d14b55b0c83a466d233f0]-duplicate-|,1,[-10]
-10.0,"[TCP:window:70]-tamper{TCP:chksum:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-sack:]-duplicate(,fragment{tcp:-1:True})-|[TCP:sport:10785]-tamper{TCP:urgptr:replace:22779}-|",1,[-10]
-10.0,[TCP:dataofs:11]-drop-|[TCP:options-sackok:]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:options-mss:38015]-duplicate(,tamper{TCP:options-nop:corrupt})-|",1,[-10]
-10.0,"[TCP:flags:FPUE]-tamper{TCP:options-mss:corrupt}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:window:70]-tamper{TCP:sport:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:sport:12888:4]-duplicate(,tamper{TCP:flags:corrupt})-|",1,[-10]
-10.0,"[TCP:options-sackok:]-fragment{tcp:-1:False}(,tamper{TCP:window:corrupt})-|[TCP:ack:2024076563:1]-duplicate-|",1,[-10]
-10.0,[TCP:flags:R]-tamper{TCP:window:corrupt}-|,1,[-10]
-10.0,[TCP:options-altchksum:58:0]-tamper{TCP:options-nop:corrupt}-|,1,[-10]
-10.0,"[TCP:sport:4320:3]-duplicate(,tamper{TCP:options-altchksumopt:replace:})-|",1,[-10]
-10.0,[TCP:options-md5header:df2f2302656289450b900f61e7d95517:1]-tamper{TCP:options-sackok:replace:}-|,1,[-10]
-10.0,[TCP:options-uto:222]-duplicate-|,1,[-10]
-10.0,[TCP:seq:2619024641]-drop-|,1,[-10]
-10.0,[TCP:options-altchksum:77:1]-tamper{TCP:flags:replace:FS}-|,1,[-10]
-10.0,"[TCP:chksum:64989]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:options-altchksumopt::2]-fragment{tcp:-1:False}(,tamper{TCP:options-altchksumopt:corrupt})-|[TCP:seq:665165602:0]-tamper{TCP:flags:replace:FA}-|",1,[-10]
-10.0,"[TCP:chksum:19368]-tamper{TCP:options-md5header:replace:69e16e1b931b29ed6e8aa92596880a54}(drop,)-|",1,[-10]
-10.0,[TCP:flags:FPUN]-drop-|,1,[-10]
-10.0,[TCP:options-wscale:140:4]-tamper{TCP:options-timestamp:corrupt}-|,1,[-10]
-10.0,"[TCP:dport:9332:3]-tamper{TCP:options-wscale:corrupt}(duplicate(tamper{TCP:options-mss:corrupt},),)-|",1,[-10]
-10.0,[TCP:seq:390763294]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
-10.0,"[TCP:options-altchksum:161]-duplicate(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,[TCP:sport:62586:1]-drop-|,1,[-10]
-10.0,"[TCP:options-timestamp:3813538661]-tamper{TCP:options-wscale:replace:64}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-timestamp:1241552348]-tamper{TCP:options-altchksum:corrupt}(tamper{TCP:load:corrupt}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:dport:24704]-tamper{TCP:options-eol:corrupt}(tamper{TCP:options-timestamp:replace:416316453}(tamper{TCP:options-sackok:corrupt},),)-|",1,[-10]
