Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,"[TCP:options-altchksumopt::1]-tamper{TCP:options-uto:corrupt}(tamper{TCP:options-eol:replace:}(drop,),)-|",1,[-1000]
-1000.0,[TCP:options-sackok::1]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:dport:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-mss:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok:]-|[TCP:options-eol::0]-|,1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-drop-|[TCP:chksum:4026:2]-tamper{TCP:options-md5header:replace:0968a8d85f533c190c2579876ff23277}-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-duplicate(drop,tamper{TCP:options-sack:corrupt}(drop,))-|[TCP:ack:3476195954]-fragment{tcp:-1:True}-|",1,[-1000]
-1000.0,[TCP:options-nop:]-drop-|[TCP:dataofs:5]-duplicate-|,1,[-1000]
-1000.0,"[TCP:reserved:0]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,"[TCP:reserved:0]-tamper{TCP:chksum:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol::0]-duplicate(,drop)-|[TCP:options-altchksumopt:]-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-timestamp:replace:2445640090}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-altchksumopt:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:ack:corrupt}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack::0]-duplicate-|[TCP:options-sackok:]-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-uto:corrupt}(fragment{tcp:-1:False}(tamper{TCP:options-altchksum:corrupt}(drop,),drop),)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:flags:replace:PA}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-uto:corrupt}(tamper{TCP:options-timestamp:replace:7098629}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksumopt:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sack:]-|[TCP:urgptr:2737]-fragment{tcp:-1:True}-|,1,[-1000]
-20.0,"[TCP:options-timestamp:4191600824]-tamper{TCP:window:corrupt}(tamper{TCP:options-wscale:replace:149},)-|[TCP:ack:4090041683:1]-duplicate-|",1,[-20]
-20.0,"[TCP:dport:33775]-duplicate(tamper{TCP:options-mss:corrupt},)-|[TCP:urgptr:64996]-duplicate-|",1,[-20]
-20.0,"[TCP:urgptr:3300]-fragment{tcp:-1:False}(duplicate,)-|[TCP:window:150:1]-duplicate-|",1,[-20]
-20.0,"[TCP:chksum:4837]-tamper{TCP:options-altchksum:replace:253}(duplicate,)-|[TCP:options-uto:187]-drop-|",1,[-20]
-20.0,"[TCP:ack:1395379411:3]-fragment{tcp:-1:True}(duplicate,)-|[TCP:options-md5header:6a739495c47f6994341ccff617a14e05]-drop-|",1,[-20]
-20.0,"[TCP:options-wscale:64]-tamper{TCP:options-md5header:replace:d1daf5e96eec1e31edcfbb86e2686515}(tamper{TCP:ack:replace:3996795192},)-|[TCP:flags:FSRUEC]-duplicate-|",1,[-20]
-20.0,"[TCP:options-timestamp:1750053740]-fragment{tcp:-1:False}(duplicate(tamper{TCP:dataofs:replace:15},),)-|[TCP:dataofs:3]-tamper{TCP:options-uto:corrupt}-|",1,[-20]
-20.0,"[TCP:seq:3339552821]-tamper{TCP:sport:corrupt}(duplicate,)-|[TCP:dataofs:9]-tamper{TCP:options-md5header:replace:7328034f6d5b05893bbc7ab6c04f1abd}-|",1,[-20]
-20.0,"[TCP:urgptr:13779]-tamper{TCP:options-sackok:replace:}(tamper{TCP:options-altchksum:replace:175},)-|[TCP:options-timestamp:1286749698:1]-tamper{TCP:ack:replace:2486568120}-|",1,[-20]
-20.0,"[TCP:ack:376751796]-tamper{TCP:reserved:replace:3}(tamper{TCP:seq:corrupt},)-|[TCP:load:__HTTP_REQUEST__]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:sport:43030]-tamper{TCP:options-uto:corrupt}(tamper{TCP:dport:replace:38018},)-|[TCP:options-altchksum:2]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:reserved:5]-tamper{TCP:options-sackok:corrupt}(duplicate,)-|[TCP:reserved:5]-tamper{TCP:seq:corrupt}-|",1,[-20]
