Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,"[TCP:options-sack:]-tamper{TCP:chksum:replace:3440}(drop,)-|[TCP:urgptr:44116]-tamper{TCP:options-sack:replace:}-|",1,[-1000]
-1000.0,[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt::2]-tamper{TCP:options-altchksum:replace:45}(drop,)-|",1,[-1000]
-1000.0,"[TCP:ack:1896705731]-duplicate(duplicate,)-|[TCP:options-eol:]-drop-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-tamper{TCP:load:corrupt}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:reserved:replace:2}(tamper{TCP:reserved:replace:2}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:dport:replace:55975}(tamper{TCP:options-uto:corrupt},),)-|[TCP:options-eol:]-drop-|",1,[-1000]
-1000.0,[TCP:options-sackok::0]-duplicate-|[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt::0]-duplicate-|[TCP:options-altchksumopt:]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop::1]-tamper{TCP:flags:replace:FSPAUN}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:load:replace:ozq6d9vuv2}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-nop::0]-tamper{TCP:flags:replace:FSPAUN}(drop,)-|",1,[-1000]
-19.341,[TCP:options-mss:29182:2]-fragment{tcp:-1:True}-|[TCP:urgptr:35527]-tamper{TCP:options-mss:replace:55705}-|,1,[-19.341]
-19.341,"[TCP:reserved:5:1]-duplicate(,drop)-|[TCP:ack:3105975733]-drop-|",1,[-19.341]
-19.341,[TCP:options-wscale:123]-drop-|[TCP:reserved:7:1]-duplicate-|,1,[-19.341]
-19.341,"[TCP:dport:45653]-fragment{tcp:-1:True}(tamper{TCP:load:corrupt},)-|[TCP:reserved:3]-tamper{TCP:options-mss:corrupt}-|",1,[-19.341]
-19.341,[TCP:chksum:57906]-drop-|[TCP:chksum:5557]-duplicate-|,1,[-19.341]
-19.341,"[TCP:reserved:5:0]-fragment{tcp:-1:True}(tamper{TCP:options-sack:replace:},)-|[TCP:options-altchksum:55]-tamper{TCP:reserved:corrupt}-|",1,[-19.341]
-19.341,"[TCP:options-timestamp:2968198568]-tamper{TCP:options-sackok:corrupt}(drop,)-|[TCP:flags:REC]-duplicate-|",1,[-19.341]
-19.341,"[TCP:dataofs:1:1]-tamper{TCP:reserved:replace:7}(tamper{TCP:window:replace:130},)-|[TCP:urgptr:13614:1]-tamper{TCP:window:replace:30}-|",1,[-19.341]
-19.341,"[TCP:options-wscale:34]-tamper{TCP:options-altchksumopt:corrupt}(fragment{tcp:-1:False},)-|[TCP:window:60:1]-tamper{TCP:chksum:corrupt}-|",1,[-19.341]
-19.341,"[TCP:seq:3167232064:4]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:options-wscale:corrupt},)-|[TCP:sport:8371]-tamper{TCP:urgptr:replace:16203}-|",1,[-19.341]
-19.341,"[TCP:dport:14234]-duplicate(,tamper{TCP:dport:corrupt})-|[TCP:window:110]-duplicate-|",1,[-19.341]
-19.341,[TCP:load:b3om3lrvkv]-tamper{TCP:dport:replace:28816}-|[TCP:sport:43835]-tamper{TCP:reserved:replace:3}-|,1,[-19.341]
