Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-eol:]-drop-|,1,[-1000]
-1000.0,[TCP:options-nop::1]-drop-|,1,[-1000]
-1000.0,"[TCP:reserved:0]-|[TCP:options-sackok::0]-tamper{TCP:options-altchksum:replace:45}(duplicate,)-|",1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-1000]
-1000.0,[TCP:options-sackok::1]-|,1,[-1000]
-1000.0,[TCP:options-eol::0]-|[TCP:options-sack::2]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:chksum:replace:51967}(tamper{TCP:options-eol:replace:}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-uto:corrupt}(tamper{TCP:options-nop:replace:}(drop,),)-|",1,[-1000]
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:options-eol:corrupt}(tamper{TCP:ack:replace:1559188305}(fragment{tcp:-1:True}(tamper{TCP:options-md5header:replace:73374a31bf5ca2a2e9e492d8298b4826},),),)-|[TCP:options-eol:]-drop-|",1,[-1000]
-1000.0,[TCP:options-eol::0]-tamper{TCP:load:corrupt}-|[TCP:options-sack::2]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt::0]-duplicate(tamper{TCP:options-sack:replace:},)-|[TCP:options-altchksumopt:]-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:load:rs0a88i7if]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:load:rs0a88i7if]-tamper{TCP:options-uto:replace:221}-|,1,[-1000]
-1000.0,[TCP:options-eol::1]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-mss:54626]-tamper{TCP:dataofs:replace:15}-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,"[TCP:options-altchksumopt:]-|[TCP:options-eol::0]-fragment{tcp:24:True:12}(duplicate,)-|[TCP:options-wscale:44]-tamper{TCP:options-altchksumopt:corrupt}-|",1,[-1000]
-1000.0,[TCP:reserved:0]-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-sack:]-|,1,[-1000]
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-1000]
-1000.0,"[TCP:options-sack:]-duplicate(drop,drop)-|",1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-sack:]-drop-|,1,[-1000]
-1000.0,[TCP:options-altchksumopt:]-|[TCP:options-sack::0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-1000]
-20.0,"[TCP:seq:3580239042]-tamper{TCP:urgptr:corrupt}(tamper{TCP:options-timestamp:replace:2645388234},)-|[TCP:options-md5header:61802ce0f4746b84f3e6706594b10c21]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,[TCP:chksum:58959]-tamper{TCP:seq:replace:2054901979}-|[TCP:options-wscale:57]-fragment{tcp:-1:True}-|,1,[-20]
-20.0,"[TCP:options-uto:32:0]-duplicate(duplicate,)-|[TCP:dataofs:8]-tamper{TCP:options-altchksumopt:replace:}-|",1,[-20]
-20.0,[TCP:options-altchksum:36:2]-drop-|[TCP:window:120]-tamper{TCP:options-mss:corrupt}-|,1,[-20]
-20.0,"[TCP:options-uto:187]-fragment{tcp:-1:False}(fragment{tcp:-1:False},)-|[TCP:options-altchksum:98]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,"[TCP:options-altchksum:146]-tamper{TCP:reserved:replace:1}(fragment{tcp:-1:False},)-|[TCP:options-md5header:19fa4fd1d72e4d7ac769b8b062adaff1]-tamper{TCP:options-nop:replace:}-|",1,[-20]
-20.0,[TCP:window:10]-drop-|[TCP:options-uto:204]-drop-|,1,[-20]
-20.0,"[TCP:options-md5header:eba5b4deb5d554fab527e4919dbd9c5c]-fragment{tcp:-1:True}(,duplicate)-|[TCP:window:140]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:seq:3914804009:3]-tamper{TCP:dataofs:corrupt}(tamper{TCP:options-sack:replace:},)-|[TCP:options-altchksum:36]-drop-|",1,[-20]
-20.0,[TCP:reserved:7]-fragment{tcp:-1:True}-|[TCP:options-wscale:25]-tamper{TCP:options-md5header:corrupt}-|,1,[-20]
-20.0,"[TCP:ack:3717357914]-duplicate(,tamper{TCP:options-timestamp:corrupt})-|[TCP:options-wscale:202:4]-duplicate-|",1,[-20]
-20.0,"[TCP:load:__DNS_REQUEST__:3]-fragment{tcp:-1:True}(,tamper{TCP:options-mss:corrupt})-|[TCP:window:60]-fragment{tcp:-1:True}-|",1,[-20]
-20.0,[TCP:urgptr:64146]-fragment{tcp:-1:False}-|[TCP:dport:22481]-duplicate-|,1,[-20]
-10.0,"[TCP:options-uto:223]-tamper{TCP:options-md5header:corrupt}(tamper{TCP:reserved:corrupt},)-|",1,[-10]
-10.0,"[TCP:chksum:21606]-duplicate(,tamper{TCP:options-wscale:corrupt})-|",1,[-10]
-10.0,[TCP:options-timestamp:1370097595]-drop-|,1,[-10]
-10.0,"[TCP:options-uto:170]-duplicate(,tamper{TCP:options-sack:corrupt})-|",1,[-10]
-10.0,"[TCP:urgptr:4065]-tamper{TCP:options-sackok:corrupt}(duplicate(tamper{TCP:ack:replace:1944943354},),)-|",1,[-10]
-10.0,"[TCP:ack:4076075928]-tamper{TCP:window:corrupt}(drop,)-|",1,[-10]
-10.0,[TCP:seq:4275086454]-tamper{TCP:options-nop:replace:}-|,1,[-10]
-10.0,[TCP:dport:41168:2]-tamper{TCP:options-md5header:replace:18a3b173944de4d0b20c55a8698dcfb7}-|,1,[-10]
-10.0,"[TCP:load:__HTTP_REQUEST__]-duplicate(tamper{TCP:options-nop:corrupt}(tamper{TCP:sport:replace:14124},),)-|",1,[-10]
-10.0,"[TCP:options-wscale:15]-fragment{tcp:-1:False}(drop,)-|",1,[-10]
-10.0,[TCP:options-timestamp:761052674]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-10]
-10.0,"[TCP:options-wscale:55]-tamper{TCP:options-timestamp:corrupt}(tamper{TCP:options-sackok:corrupt}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,[TCP:options-md5header:fbbefc8de732582785bfc898d1c41b52]-tamper{TCP:sport:corrupt}-|,1,[-10]
-10.0,[TCP:urgptr:32770]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-uto:86]-tamper{TCP:urgptr:replace:43916}-|,1,[-10]
-10.0,[TCP:dport:33533:4]-duplicate-|,1,[-10]
-10.0,"[TCP:dataofs:10]-tamper{TCP:flags:replace:SA}(tamper{TCP:options-timestamp:replace:1401758222}(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,"[TCP:load:]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:options-sack:corrupt},)-|",1,[-10]
-10.0,[TCP:options-mss:35525:1]-tamper{TCP:window:corrupt}-|,1,[-10]
-10.0,"[TCP:ack:907596189:0]-fragment{tcp:-1:False}(duplicate,)-|",1,[-10]
-10.0,"[TCP:dport:47106:3]-fragment{tcp:53:True}(,drop)-|",1,[-10]
-10.0,"[TCP:chksum:7305]-tamper{TCP:reserved:replace:7}(fragment{tcp:-1:False}(tamper{TCP:flags:corrupt},),)-|",1,[-10]
-10.0,"[TCP:seq:2111293171]-duplicate(tamper{TCP:sport:corrupt},duplicate)-|",1,[-10]
-10.0,[TCP:flags:UEN]-tamper{TCP:window:replace:60}-|,1,[-10]
-10.0,[TCP:options-altchksum:53]-drop-|,1,[-10]
-10.0,"[TCP:dport:20787:2]-duplicate(tamper{TCP:reserved:corrupt},)-|",1,[-10]
-10.0,[TCP:dport:35501]-duplicate-|,1,[-10]
-10.0,"[TCP:load:]-tamper{TCP:load:replace:lt7mjo4ylr}(duplicate,)-|",1,[-10]
-10.0,[TCP:seq:3346318219]-duplicate-|,1,[-10]
-10.0,"[TCP:urgptr:18767:1]-duplicate(tamper{TCP:options-md5header:replace:7631751cb11461c3738fa5c9c23dd0bc},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:2821334004]-tamper{TCP:seq:replace:4256620033}(tamper{TCP:window:replace:30},)-|",1,[-10]
-10.0,[TCP:options-md5header:ff114ebae8298a588c302bac234950ae]-tamper{TCP:urgptr:replace:18287}-|,1,[-10]
-10.0,"[TCP:options-altchksum:94:2]-tamper{TCP:dport:corrupt}(tamper{TCP:window:corrupt}(tamper{TCP:load:replace:__DNS_REQUEST__},),)-|",1,[-10]
-10.0,"[TCP:dataofs:9]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:dataofs:10]-duplicate-|,1,[-10]
-10.0,[TCP:load:__HTTP_REQUEST__]-drop-|,1,[-10]
-10.0,"[TCP:options-md5header:087d98bb0ab6ff01c58812ef7d5371de]-tamper{TCP:options-altchksum:corrupt}(tamper{TCP:ack:replace:942702149},)-|",1,[-10]
-10.0,"[TCP:options-sackok:]-fragment{tcp:-1:False}(,drop)-|[TCP:sport:8172]-tamper{TCP:urgptr:corrupt}-|",1,[-10]
-10.0,"[TCP:options-altchksum:43]-fragment{tcp:-1:False}(,drop)-|",1,[-10]
-10.0,[TCP:options-altchksum:102]-tamper{TCP:options-timestamp:replace:2717891220}-|,1,[-10]
-10.0,[TCP:dataofs:14]-tamper{TCP:options-altchksum:corrupt}-|,1,[-10]
-10.0,[TCP:options-timestamp:1715135828:2]-tamper{TCP:seq:replace:2285417056}-|,1,[-10]
-10.0,[TCP:urgptr:25774]-tamper{TCP:options-sack:replace:}-|,1,[-10]
-10.0,"[TCP:dport:52235]-tamper{TCP:options-sack:replace:}(tamper{TCP:options-nop:replace:},)-|",1,[-10]
-10.0,"[TCP:sport:51507:0]-tamper{TCP:options-nop:replace:}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-timestamp:424734381]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-altchksum:164]-fragment{tcp:-1:True}(duplicate,)-|",1,[-10]
-10.0,"[TCP:dport:50099]-fragment{tcp:-1:True}(duplicate(duplicate,),)-|",1,[-10]
-10.0,[TCP:options-md5header:e26ad37f71df41383c7d5b87cec59967]-tamper{TCP:options-timestamp:corrupt}-|,1,[-10]
-10.0,[TCP:options-mss:10349:4]-drop-|,1,[-10]
-10.0,"[TCP:options-timestamp:2063868117]-tamper{TCP:options-sackok:replace:}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,[TCP:options-wscale:143]-tamper{TCP:ack:replace:2633256550}-|,1,[-10]
-10.0,[TCP:dport:47451]-duplicate-|,1,[-10]
-10.0,[TCP:options-altchksum:90]-tamper{TCP:options-wscale:corrupt}-|,1,[-10]
-10.0,"[TCP:options-eol::1]-tamper{TCP:window:replace:140}(tamper{TCP:options-altchksum:replace:212},)-|[TCP:options-timestamp:3397506686]-duplicate-|",1,[-10]
-10.0,"[TCP:window:80:3]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-timestamp:942697048:4]-tamper{TCP:options-md5header:corrupt}(tamper{TCP:options-uto:replace:38},)-|",1,[-10]
-10.0,"[TCP:dataofs:9:3]-duplicate(duplicate,)-|[TCP:options-altchksumopt:]-tamper{TCP:flags:corrupt}-|",1,[-10]
-10.0,[TCP:options-altchksum:153]-drop-|,1,[-10]
-10.0,[TCP:reserved:5]-duplicate-|,1,[-10]
-10.0,"[TCP:dataofs:4]-tamper{TCP:sport:corrupt}(tamper{TCP:options-timestamp:replace:1856689012},)-|",1,[-10]
-10.0,[TCP:urgptr:25392]-duplicate-|,1,[-10]
-10.0,"[TCP:options-uto:83]-tamper{TCP:options-altchksum:replace:162}(fragment{tcp:-1:False}(,duplicate),)-|",1,[-10]
