Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-sack:]-fragment{tcp:30:True:15}-|[TCP:options-mss:61742]-duplicate-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-duplicate(tamper{TCP:dport:replace:40507},duplicate(fragment{tcp:-1:True},))-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-md5header:replace:ee42ac770a95ba8e3c4365f4553362ac}(tamper{TCP:options-nop:replace:}(drop,),)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:dataofs:corrupt}(tamper{TCP:options-eol:replace:}(duplicate(tamper{TCP:flags:corrupt},),),)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:chksum:replace:36349}(duplicate(fragment{tcp:-1:True},),)-|[TCP:dport:29999]-tamper{TCP:options-sackok:corrupt}-|",1,['-1000']
-1000.0,[TCP:options-eol:]-fragment{tcp:40:False:20}-|,1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sackok:replace:}(fragment{tcp:-1:False},)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-uto:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:seq:corrupt}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-duplicate(fragment{tcp:-1:True},)-|[TCP:options-nop:]-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-duplicate(fragment{tcp:-1:False},)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-duplicate(tamper{TCP:dataofs:corrupt},fragment{tcp:-1:True}(duplicate,))-|",1,['-1000']
-1000.0,[TCP:load:]-drop-|[TCP:options-nop:]-drop-|,1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(tamper{TCP:load:corrupt},)-|[TCP:options-nop:]-fragment{tcp:-1:True}-|",1,['-1000']
-1000.0,"[TCP:options-sackok::0]-tamper{TCP:options-nop:corrupt}(tamper{TCP:options-wscale:replace:13},)-|[TCP:options-altchksumopt:]-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:flags:corrupt}(tamper{TCP:seq:replace:137159696},)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-sackok:corrupt}(tamper{TCP:flags:replace:329},)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-duplicate(tamper{TCP:flags:corrupt},)-|",1,['-1000']
-1000.0,"[TCP:load:]-fragment{tcp:-1:True}(tamper{TCP:options-mss:corrupt},tamper{TCP:sport:corrupt}(duplicate(tamper{TCP:dport:corrupt},),))-|[TCP:flags:120]-duplicate-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-duplicate(,tamper{TCP:flags:replace:474})-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:chksum:replace:21315}(drop,)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-duplicate(fragment{tcp:-1:False},duplicate)-|",1,['-1000']
-1000.0,"[TCP:options-altchksumopt:]-duplicate(,duplicate(tamper{TCP:flags:corrupt},))-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-tamper{TCP:options-mss:corrupt}(fragment{tcp:-1:True},)-|[TCP:options-nop:]-duplicate-|",1,['-1000']
-1000.0,[TCP:options-sack:]-tamper{TCP:dport:corrupt}-|[TCP:flags:165]-duplicate-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-duplicate(fragment{tcp:-1:False},)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:options-sackok:replace:}(fragment{tcp:-1:True},)-|",1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:window:replace:10}(fragment{tcp:-1:True},)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:urgptr:replace:51075}(fragment{tcp:-1:True},)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-duplicate(fragment{tcp:-1:False},tamper{TCP:options-md5header:corrupt})-|",1,['-1000']
-1000.0,"[TCP:flags:88:3]-duplicate(,tamper{TCP:sport:corrupt})-|[TCP:options-nop:]-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-duplicate(fragment{tcp:-1:False},)-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-uto:corrupt}(tamper{TCP:seq:corrupt},)-|[TCP:flags:418:2]-tamper{TCP:urgptr:replace:65347}-|",1,['-1000']
-1000.0,[TCP:load:]-tamper{TCP:flags:replace:119}-|,1,['-1000']
-1000.0,"[TCP:options-nop:]-tamper{TCP:load:corrupt}(tamper{TCP:load:corrupt}(fragment{tcp:-1:True},),)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(tamper{TCP:load:corrupt},)-|[TCP:flags:336]-fragment{tcp:-1:False}-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-sackok:replace:}(duplicate(tamper{TCP:flags:corrupt},),)-|",1,['-1000']
-1000.0,[TCP:load:]-|[TCP:options-altchksumopt:]-|,1,['-1000']
-1000.0,"[TCP:chksum:10072]-tamper{TCP:load:corrupt}(tamper{TCP:options-sackok:corrupt},)-|[TCP:options-nop:]-fragment{tcp:27:False:12}-|",1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:flags:replace:403}(tamper{TCP:sport:corrupt},)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-altchksum:corrupt}(duplicate(duplicate,fragment{tcp:-1:True}),)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:dport:corrupt}(fragment{tcp:-1:False},)-|",1,['-1000']
-1000.0,[TCP:load:]-drop-|[TCP:options-altchksumopt:]-|[TCP:options-altchksumopt:]-|,1,['-1000']
-1000.0,"[TCP:seq:2049326009]-duplicate(,tamper{TCP:dataofs:corrupt})-|[TCP:options-altchksumopt:]-|",1,['-1000']
-1000.0,[TCP:options-nop::0]-duplicate-|[TCP:options-altchksumopt::0]-fragment{tcp:-1:False}-|,1,['-1000']
-1000.0,"[TCP:options-sackok:]-tamper{TCP:options-uto:corrupt}(tamper{TCP:seq:corrupt}(tamper{TCP:load:corrupt}(drop,),),)-|",1,['-1000']
-1000.0,"[TCP:options-eol:]-tamper{TCP:options-timestamp:replace:1617843175}(fragment{tcp:-1:True},)-|",1,['-1000']
-1000.0,"[TCP:options-sack:]-duplicate(duplicate(fragment{tcp:-1:False},),)-|[TCP:flags:S]-duplicate-|",1,['-1000']
